SpongeBob,  You're not doing the technique.
Patrick, Technique.
Squidward," Technique? Technique!? Technique, technique, technique, technique, technique!  First I do this, spin around. Stop. Double take three times. And here we go, pelvic thrust. Wehooooo! Wehoohoo! Oh, stop on your right foot, don't forget it. Then, bring it around town. And a little of this, a little of that, a little of this, this, this, this, that, that, that, that. And that, that, that that that that! And then... "
SpongeBob and Patrick, Wow! 
SpongeBob," All right, Squid! That was so good!"
Patrick, Squid is number one!
Squidward," I really did it, didn't I? Hey, you guys didn't blow anything like that! "
SpongeBob, No.
Squidward, Now that's a bubble!
SpongeBob," You said it, Squidward. See, it is all in the technique!"
Patrick," Yeah, technique."
Squidward," Technique? Hah! SpongeBob, you don't think I created that  beautiful work of art with your help?  Come on, it's in my genes."
SpongeBob and Patrick, Squid's got genes! Squid's got genes! 
Squidward," Thank you, thank you, thank you.  I rock. "
SpongeBob,  Squidward! 
SpongeBob and Patrick, Squidward! Squidward! Squidward! 
Squidward," Hello, my friends. You are looking at a... "
SpongeBob and Patrick, Squidward!
Squidward, ...genius. 
SpongeBob and Patrick, Wow! 
Narrator," Ah, Goo Lagoon. A stinky mud puddle to you and me. But to the inhabitants of Bikini Bottom, a wonderful, stinky mud puddle. "
SpongeBob," What a great day.  Hey, Sandy! Look!  I'm Sandy!  Hey Sandy, who am I?  Hello, SpongeBob. Could you keep it down? I'm trying to be boring. "
Sandy, SpongeBob! 
SpongeBob, Did anyone order twenty pepperoni and sand pizzas? 
Larry," Hey, Sandy. Hey, SpongeBob."
Sandy," Hey, Larry."
Larry, You guys wanna go lift some weights?
Sandy," Sure.  Well come on, SpongeBob. "
SpongeBob,  Coming. 
Larry," Give it a try, Sandy. "
SpongeBob," Good job, Sandy. Well, that's about enough for today, don't you think? "
Larry, How about a little more weight?  Observe. 
SpongeBob," All right, stand back, everyone. "
Sandy," Y'all watch this!  Way to go, Larry! "
SpongeBob, Could I borrow a couple of these?
Fish,"  Mm-hmm.  And now, with the addition of two, count 'em, two marshmallows. "
Scooter, That was too funny.  You are hilarious!
Sandy, Ain't he the funniest little Sponge you ever saw? 
Larry, Anybody up for some volleyball? 
SpongeBob," I got it!  Incoming!  Oops, I guess I ripped my pants again! "
Scooter," Once again, dude,  YOU have split my sides! "
SpongeBob," Hey, Sandy, how about throwing it to me?"
Sandy," Okay, here it comes! "
SpongeBob, I could use a hand here! 
Sandy," You okay, SpongeBob?"
SpongeBob, I guess so...  ...except I ripped my pants! 
Scooter," You still got it, dude! "
Lou Vendor, May I help you?
SpongeBob, I'll take a banana split.
Lou," Uh, we don't have that."
SpongeBob, That's okay. I already split my pants! Get it? 
Lou,  Tee-hee. Anything else?
SpongeBob," How about ripple?  No, thanks, already got one!  Is that a burger you're eating?"
Harold," Why, yes, it is."
SpongeBob, You know what would go good with that?
Harold," No, what?"
SpongeBob,  Ripped... pants.  Ripped pants a la mode!  Delivery! Did you order twenty cases of ripped pants? 
Perch Perkins," Surf's up in the Goo Lagoon.  And here comes Larry, doing his trademark lay-back.  There goes Sandy, hanging ten... fingers, that is.  There goes SpongeBob...  ripping his pants again. "
Lifeguard," Hey, look! A cardboard box washed up on the beach.  Holy fish paste! It's a guy!  Why?! Why?! Why?! "
Sandy, SpongeBob!
SpongeBob,  Come closer.  I need... I need...
Lifeguard, What do you need? 
SpongeBob,  A tailor.  Because I ripped my pants! 
Sandy," That wasn't funny, SpongeBob! Y'all had me worried sick! "
Scooter, Dude... 
SpongeBob,"  Come on, SpongeBob, you're losing them! Think! Your public's waiting.  Let's see...  ""Lifting weights - big laugh,"" ""Frisbee in face - kills,"" ""Surfing - knocks 'em dead,"" ""Pretending to drown,""  No. Come on, think! I got it! Hey, everybody!  Not ripped pants!  Pants ripped off. Huh? Someone call the police. There's a pants thief on the loose!  Oh, no, everybody's gone, even Sandy. She'd rather hang out with Larry! Oh, no, no, no, no, no, no, no.  We blew it, pants."
Pants," What do you mean, ""we?"" "
SpongeBob," Oh, I didn't have to be a fool to get Sandy's attention. Am I the biggest loser on the beach?! "
Jennifer," No, I am. I forgot to put on sunscreen. "
SpongeBob, Ouch. 
Dexter," No, I am. I got sand in my buns. "
Frank," No, I'm the biggest loser on the beach. They buried me in the sand and forgot me."
All, What happened to you?
SpongeBob, I lost my best friend.
All, How? 
SpongeBob," When I ripped...  my pants.  I thought that I had everybody by my side, but I went and blew it all sky-high, and now she won't even spare a passing glance, all just because I  ripped my pants. "
All," ♪When big Larry came round just to put him down, SpongeBob turned into a clown, and no girl ever wants to dance with a fool who went and  ripped his pants!♪"
SpongeBob,"  ♪I know I shouldn't mope around, I shouldn't curse, but the pain feels so much worse. 'Cause winding up with no one is a lot less fun than a burn from the sun...♪"
All, ♪Or sand in your buns!♪ 
SpongeBob, ♪Now I learned a lesson I won't soon forget... so listen and you won't regret. Be true to yourself; don't miss your chance... and you won't end up like the fool... who... ripped... his... pants!♪ 
Sandy, SpongeBob!
SpongeBob, Sandy! 
Sandy," Your song is true. If y'all want to be my friend, just be yourself. "
Larry,"  SpongeBob, that was so righteous. Would you... sign my pants?"
SpongeBob," Absolutely, buddy. "
Narrator," Ah, ze early morning in Bikini Bottom, when the jellyfish are buzzing about and making their jellyfish jelly.  Oh, what is happening here?  Collectors? "
SpongeBob,  I think I've got it! Wait a minute... 
Squidward, Hm.
SpongeBob," Hey Squidward, we're jellyfishing."
Squidward, Of course you are. Bye now. 
SpongeBob, Wait! We made a net especially for you!  Do you want to come with us?
Squidward,"  Really? Jellyfishing with you guys? Oh, that would be the best day ever in my book! I would love to go jellyfishing! I can't think of anything I'd like to do more on my day off than go jellyfishing with my two best friends SpongeBob and... uh..."
Patrick, Patrick.
Squidward, Right. But I can't. Bye bye.
SpongeBob, Next time?
Squidward," Oh sure, right! Whatever.  Like that'll ever happen."
SpongeBob," You know, Patrick? It always seems like Squidward never has time for fun."
Patrick, Maybe he doesn't like us.
SpongeBob," No, are you kidding? We're his best friends. "
Squidward," Jellyfishing.  Oh, I'll go.  I sure had them going.  Stupid jellyfish! Beat it!  Ow..."
SpongeBob, Squid's back! 
Patrick, Yello?
SpongeBob," Hey Patrick, Squid's home! And we're gonna make sure he's greeted by his two best friends!"
Patrick, Oh great! Who are they? 
SpongeBob," Us!  Let's go!  Welcome home, Squidward!"
Patrick, Merry Christmas!
SpongeBob," We're gonna make this your best day ever!  Well, your best day's sure not gonna be out there. "
Patrick," How about some soup on your best day ever?  Here we go!  Oh, it's a little hot. "
SpongeBob," I don't think soup is the best thing for him on his best day ever.  How about some music on your best day ever? Played on your very own clarinet.  Sorry, my lips are a little dry. "
Patrick, Music isn't best either!
SpongeBob, But what is best is what we saved for last. The one sure-fire thing to make your best day ever the best day ever! 
SpongeBob and Patrick,"  Jellyfishing, jellyfishing, jellyfishing, jellyfishing, jellyfishing, jellyfishing, jellyfishing, jellyfishing, jellyfishing!"
SpongeBob," This is Jellyfish Fields, where wild jellyfish roam just waiting to be captured.  No, no, Squid! Over here! I know you're eager, but you don't even have your net. Pat, fix him up while I find him a good specimen."
Patrick, Firmly grasp it in your hand.  Firmly grasp it.  Firmly grasp it!  That oughta do it. 
SpongeBob, There's one in position. Ready... set... go! 
Patrick, I think we gotta show him how it's done. 
SpongeBob, Hey look! Squid's doing it! 
Patrick, This guy's good.
SpongeBob, He's a natural!
SpongeBob,"  Yeah, you're doing great! Go, Squid, go!"
Patrick,"  Yeah, you got it, Squidward! Yeah, you're doing it, Squid! See what you've been missing?"
SpongeBob,"  Yeah, you got, Squid!"
Patrick,"  You got what you wanted, Squidward! You can do that distance! Use that net!"
SpongeBob, Be the net!
Patrick," Yeah! You're feeling it Squid! That's it, all the way! The last 6 miles, make that, Squid! Go, go, go!"
SpongeBob,"  Yeah, go by the eye of the tiger, by the eye of the tiger, by the eye of the tiger! Better, better, better! Yeah, yeah, yeah! You've got it now!"
Patrick, It's in the bag!
SpongeBob," This is really your best day ever, isn't it?"
Both,  Oooh...
SpongeBob," Hey, Patrick. Well...  Thought yesterday went...  pretty well, don't you think?"
Patrick, I had fun.
SpongeBob, Me too. 
Patrick, Here comes Squidward!
SpongeBob," Oh, great.  Hey Squid! How about that...  ...best day ever?"
Patrick, There's always tomorrow! 
SpongeBob," Um, we're really sorry about what happened yesterday, Squidward.  Um, we got you a present!  It's the jellyfish. "
Patrick," You know, from yesterday!"
SpongeBob," You're not still mad, are you? "
Patrick," Yup, he's still mad. "
Squidward, Ow.
Squidward,"  One Krabby Patty for table two. SpongeBob, I don't have the whole day. "
SpongeBob," Oui, oui. Un Krabby Patty, Monsieur. First, les patty. "
Squidward," Come on, SpongeBob!"
SpongeBob," Next, les ingredients.  Ah, oui!  Les mustard. "
Squidward," Les quit fooling around, where's my Krabby Patty?"
SpongeBob, Les hold on a second!  And voila!  It's under your nose! 
Squidward," You're killing me, SpongeBob! Ha ha ha...you really are. ."
SpongeBob," Look at it, Squidward. Mr. Krabs' gift to all of Bikini Bottom -- the Krabby Patty.."
Squidward," Okay, give it to me.  Come on SpongeBob, stop it!"
SpongeBob,  I swear I'm not doing anything. Mr. Krabs! The Krabby Patty is haunted! 
Mr. Krabs," Avast, ye patty pirate! This is no ghost. This is...  Plankton! Stealing me booty!"
Sheldon J. Plankton," Hear me Krabs. When I discover your formula for Krabby Patties, I'll run you out of business. I went to college!  Hey! Let me go!"
Mr. Krabs," Oh, I'll let you go, squirt. On a flying saucer!  Back to the Chum Bucket with you!"
Plankton," You'll pay for this, Krabs! "
SpongeBob," Uh..Plankton, sir?"
Mr. Krabs," Aye, he's been trying to steal me secret formula for years, but you haven't got it yet, have ye, bug?  Okay.  Enough lad, it wasn't that funny.  Get back to work! "
SpongeBob,"  Okay Mr. Krabs, see you tomorrow!"
Mr. Krabs," Good night, me boy! "
Plankton,"  Psst...young man.  Yes, over here. Come on boy, a little closer.  Closer...  Not that close!  You blasted barnacle head! I mean...hi. "
SpongeBob, Plankton? What do you want?
Plankton," I just want to talk. You could say we're friends, right?"
SpongeBob, Um...no.
Plankton, Acquaintances?
SpongeBob, No.
Plankton," Well, we're both invertebrates, aren't we?"
SpongeBob, I...guess so.
Plankton," You see? Everything works out. I have something for you. I've been keeping it in my secret compartment.  Ding!  Sparkle, sparkle."
SpongeBob, Wow! A golden spatula! And it's even got my name on it.
Plankton," It's a gift! A gift from a friend.  Friends give each other gifts, and tomorrow is my birthday.  And you know what I'd like more than anything in the whole wide world? ."
SpongeBob, A booster seat? 
Plankton," Booster seat? Hot dog! I mean, no. What I want for my birthday from you, my friend, is one of those  tender...delicious...Krabby Patties! "
SpongeBob, You just want to be friends so you can get your hands on a Krabby Patty! And I bet it's not even your birthday tomorrow.
Plankton," Gee, and I thought you were stupid."
SpongeBob," You'll never get a Krabby Patty from me!  Even if we are friends!  Never, never, never, never!"
Plankton," Oh, I'll get a Krabby Patty and you're gonna hand-deliver it to me personally! You weak-minded fool! "
SpongeBob," Good night, Gary. "
Plankton,"  SpongeBob, you will be mine! "
Woman in the recording," ♪Letters of the alphabet, A-B-C...♪"
Plankton," It should be in here...but where?  Where? Oh...  This will be the beginning of the end!  Ouch! Stupid brain...  Come back here you swine!  That's it, brain, you're going down!  Yes, yes, that's grand.  And now, for my very elaborate and college-educated plan.  And now it's time for a little wakey-uppy. "
SpongeBob, Morning already?  I... I feel a little funny today. 
Plankton, I have you now! 
SpongeBob," Time for a well-balanced breakfast.  This isn't what I had in mind.  Let me just grab my pants.  I guess I'm not wearing any pants today.  I guess I'm not using the door either. See you later, Gary! ...I guess.  You're right, Gary! There is something wrong with me! Squidward! Squidward! Wake up! I need some help!  Squidward! Help!"
Squidward," Be quiet, SpongeBob! "
SpongeBob, Help!
Squidward," SpongeBob! What are you doing? I'm talking to you! SpongeBob! SpongeBob, are you mad? "
Plankton,"  Shut your mouth, you mediocre clarinet player."
Squidward, Mediocre? 
Plankton, You pretentious little insignificant artist. Your snivelly creations are worth less than a protozoan's waste! 
SpongeBob, Something must be wrong with my brain!  Plankton!  What kind of friend are you?
Plankton, Nonsense. You never liked me anyway. You wouldn't even come to my birthday party! 
SpongeBob, Get out of my head! Leave my brain alone!  Never! Never! 
Plankton,  Toot toot! How about a little take-out?
SpongeBob," No, never!  You can't fool me Plankton, you want the Krabby Patty secret formula! "
Plankton, You are going to hand-deliver it to me personally!
SpongeBob," No, no, no!  There's no one here."
Plankton, Don't remind me. Brace yourself SpongeBob. This is my lab!  And this is my laboratory! And did I ever show you my record player? 
SpongeBob, I must fight! 
Plankton," No, no, no, no.  There, you see how much easier it is when you help, friend? How do you like my analyzer? It tells the ingredients of whatever I put into it. "
Karen Plankton," Seaweed 50% Sea, 50% Weed. "
Plankton," Impressed? Now let's reveal that secret formula.  And this little piggy brought home a Krabby Patty.  This little piggy will help me drop it in. Any last words, SpongeBob SecretPants? "
SpongeBob," I just have to say I'm sorry I let Mr. Krabs down.  I let all of Bikini Bottom down. But worst of all, I let you down, you delicate little Krabby Patty."
Plankton, Mmm...
SpongeBob,"  With your tasty, juicy, scrumptious, warm, steamy goodness. "
Plankton, Steamy... 
SpongeBob," I'll never forget your 100% all-secret patty, secretly assembled with undersea cheese, pickles, lettuce, tomato, onion, all secretly steamed between two fluffy seaweed-sea buns. "
Plankton, Yes... yes... yes!  Come to papa!  Oh boy... 
Karen," Plankton 1% evil, 99% hot gas. "
Plankton," Well, this stinks."
SpongeBob," Well patty, I guess we can go home now. "
Plankton," SpongeBob, that's my Krabby Patty!  Give it back, you porous freak! I command you! My patty!  Nooooo! I'll settle for some fries."
Squidward," Wow. Squidward, this is the best soufflé you have ever created.  Congratulations, chef! "
SpongeBob Bubble," Hi, Patrick."
Patrick Bubble," Hi, SpongeBob."
SpongeBob,"  Patrick, you're my best friend in the whole neighborhood."
Squidward Bubble,"  Patrick, you are the dumbest idiot it has ever been my misfortune to know."
Patrick Bubble," Do you really think that, SpongeBob?"
SpongeBob,"  Of course, Patrick. Anyone with eyes can see that. "
Patrick Bubble," Yeah? Well, I think you're ugly.  Yellow is ugly! "
SpongeBob,"  Patrick, what are you talking about?"
Squidward Bubble,"  SpongeBob, I no longer wish to know you.  You give bottom dwellers a bad name."
Squidward Bubble,"  If I had a dollar for every brain you don't have, I'd have one dollar!"
Squidward Bubble,"  Hey, Patrick, I heard there was a job opening down at the pet shop... as some newspaper!"
Patrick,"  Well, that makes you a big dummy, you dummy!"
SpongeBob,"  Yeah, well, that means that, uhh... so are you!"
Patrick," Right, you're a turkey!"
SpongeBob, What's that? 
Patrick, It's what you are!
SpongeBob," Well, you're a bigger one!"
Patrick," Well, you're still yellow! And you know what else is yellow?"
SpongeBob, What?
Patrick, You are!
SpongeBob," Oh, yeah? Well it doesn't matter what you call me, 'cause I never wanna see you again anyway!  Aww, tartar sauce! "
Squidward,  
Patrick," Wow, Squidward, you're choking!  Uhh... uhh, I know what to do, but I should wash my hands first. Oh, well.  I win!"
Squidward," Wow! Patrick, you saved me!"
Patrick, I did?
Squidward," Yup! You're a real lifesaver, friend! "
Patrick, Friend?  Friend...
Squidward,"  Yeah, Patrick, we're friends...  just friends. "
Patrick," So what are we gonna do tonight, best friend? "
Squidward," Well, I was going to practice my clarinet solo."
Patrick, Clarinet? I love music!
SpongeBob," Ahh, who needs them? They're no fun anyway, right, Gary?  Gary? "
Squidward, Squidward will be performing his version of Solitude in E minor.
Patrick,  Yeah! E minor! All right! Yeah! 
SpongeBob," Ah, what am I worried about? I got plenty of friends! I can name three right off the bat!  Uhh...  The gang's all here...  Ohhh!"
Squidward, Ow! My back! I threw out my back!
SpongeBob,"  Oh, boy, now's my chance! "
Squidward," SpongeBob? No, no, stay back!"
SpongeBob,"  Don't worry, Squidward! I'm coming!"
Squidward," No, no, no, get away from me!"
SpongeBob, Hang on! I'll save you! 
Squidward,"  No, no! Get away from me! No, no!"
SpongeBob,  Hold on!
Squidward," No, no! Get away!  Oh! I'm ruined! I'm... I'm... I'm... I-I feel great! Thanks, SpongeBob! You're a real friend! "
SpongeBob, Friend...
Squidward," N-no, no, no, I didn't mean that, no-no."
