Character,Line
KRAMER,"  Oh, he's getting' a drink of water.  Is this for that girl?"
JERRY, Yeah.
KRAMER, Why even give her an option?
JERRY," This is a person I like, it's not ""How to score on 
              spring break""."
GEORGE," Right, can we go? 'Cause I'm double-parked, I'm gonna get 
              a ticket."
JERRY," Yeah, OK. Oh, wait a second. Oh, I, I forgot to clean the 
              bathroom."
GEORGE, So what? That's good.
JERRY," Now, how could that be good?"
GEORGE," Because filth is good...Whatta you think rock stars have 
              sponges and ammonia lyin' around the bathroom? They, they have a 
              woman comin' over ""I've gotta tidy up? Yeah right, in these 
              matters you never do what your instincts tell you. Always, ALWAYS 
              do the opposite."
JERRY, This is how you operate?
GEORGE," Yeah, I wish."
JERRY, Let me just wipe the sink.
KRAMER,"  WHY EVEN GIVE HER 
              AN OPTION FOR?  It's unbelievable."
GEORGE, Yeah.
KRAMER, ...How's the real estate-business?
GEORGE,"... It's uh, not bad, it's comin' along...Why? 
              Did you need something."
KRAMER, Do you handle any of that commercial...real estate?
GEORGE," Well, I might be getting in to that."
KRAMER,  You keep me posted!
GEORGE," I'm aware of you, all right, let's go , let's go!  You're on stage in 
              25 minutes."
,
JERRY," The dating world is not a fun world...it's a pressure world, 
              it's a world of tension, it's a world of pain...and ya know, if 
              a woman comes over to my house, I gotta get that bathroom ready, 
              'cause she needs things. Women need equipment. I don't know what 
              they need. I know I don't have it, I know that...Ya know what they 
              need, women seem to need a lot of cotton-balls. This is the one 
              I'm, always has been one of the amazing things to me...I have no 
              cotton-balls, we're all human beings, what is the story? I've never 
              had one...I never bought one, I never needed one, I've never been 
              in a situation, when I thought to myself ""I could use a cotton-ball 
              right now""...I can certainly get out of this mess...Women need 
              them and they don't need one or two, they need thousands of them, 
              they need bags, they're like peat-moss bags, have you ever seen 
              these giant bags? They're huge and two days later, they're out, 
              they're gone, the, the bag is empty, where are the cotton-balls, 
              ladies? What are you doin' with them? The only time I ever see'em 
              is in the bottom of your little waste basket, there's two orthree, 
              that look like they've been through some horrible experience... 
              tortured, interrogated, I don't know what happened to them...I once 
              went out with a girl who's left a little zip-lock-baggy of cotton-balls 
              over my house. I don't know what to do with them, I took them out, 
              I put them on my kitchen floor like little tumbleweeds. I thought 
              maybe the cockroaches would see it, figure this is a dead town 
              ""Let's move on""... The dating world is a world of pressure. 
              Let's face it a date is a job-interview, that lasts all night. 
              The only difference between a date and a job-interview is not many 
              job-interviews is there a chance you'll end up naked at the end 
              of it...ya know ""Well, Bill, the boss thinks you're the man 
              for the position, why don't you strip down and meet some of the 
              people you'll be workin' with?""."
,
JERRY," Wouldn't it be great if you could ask a woman what she's 
              thinking?"
GEORGE," What a world that would be, if you just could ask a woman 
              what she's thinkin'."
JERRY," Ya know, instead, I'm like a detective I've gotta pick 
              up clues, the whole thing is a murder investigation."
GEORGE," Listen, listen, don't get worked up, 'cause you're gonna 
              know the whole story the minute she steps off the plane."
JERRY, Really? How?
GEORGE, 'Cause it's all in the greeting. 
JERRY, Uh-huh.
GEORGE," All right, if she puts the bags down before she greets 
              you, that's a good sign."
JERRY, Right.
GEORGE," Ya know, anything in the, in the ""lip-area"" is 
              good."
JERRY," ""Lip-area""."
GEORGE, Ya know a hug definitely good.
JERRY, Hug is definitely good.
GEORGE, Sure.
JERRY," Although what if it's one of those hugs where the shoulders 
              are touching, the hips are eight feet apart?"
GEORGE," That's so brutal, I hate that."
JERRY, Ya know how they do that?
GEORGE," That's why, ya know, a shake is bad."
JERRY," Shake is bad, but what if it's the ""two-hander""? 
<!-- BeginAd02 --><!-- EndAd -->
              The hand on the bottom, the hand on the top, the warm look in the 
              eyes?"
GEORGE, Hand-sandwich.
JERRY, Right.
GEORGE," I see, well, that's open to interpretation. Because so 
              much depends on the layering and the quality of the wetness in the 
              eyes..."
LAURA, Guess who?
JERRY," Hey, hey."
JERRY, It's good to see you.
LAURA, Hi.
JERRY, This is my friend George.
LAURA,"  Hi, how nice to meet you."
GEORGE," Hi, how are you?"
JERRY, This is Laura.
GEORGE," Laura, sure."
JERRY,  I can't believe you're here.
LAURA," Oh, thank you."
JERRY,"  Now that was an interesting greeting, 
              did you notice that, George?"
GEORGE," Yes, the ""surprise-blindfold-greeting"". That 
              wasn't in the manual, I don't know."
,
JERRY," So uh, what do ya think?"
LAURA," Ooohhh, wow! This place isn't so bad."
JERRY," Yeah, it kind a motivates me to work on the road...So uh, 
              make yourself at home.  So uh, can I get 
              you anything? Uuhhh, bread, water...salad-dressing?"
LAURA,"  Actually uhm, do you have any wine?"
LAURA," Oh, do, do you mind if I turn this down? "
JERRY," Uh, no, yeah, go right ahead. "
LAURA," Uh, Jerry, uh, I was wandering would it be possible, and 
              if it's not, fine, for me to stay here tomorrow night too?"
JERRY," Uh, yeah, yeah, sure, why don't you stay? Yeah, uhm...What 
              is your, what is your schedule for tomorrow? Are you, are you doin' 
              anything?"
LAURA," No, I'd love to do something, uh, I have my seminar in the 
              morning, then after that I'm right open."
JERRY, Really? What would you like to do?
LAURA," Well...now I know this sounds touristy, but I'd just love 
              to go on one of those five-hour-boat-rides around Manhattan."
JERRY,"  Yeah, we could do that...why not, why not. 
               I'm just, I'm really glad you're here.  Yeah, hello...yes...yes, she is, hold on. 
               Uhm, it's for you."
LAURA,"  Hello?...Hi!...no no it was great, 
              right on time...no, I, I'm gonna stay here tomorrow...yes, yes it's 
              fine..no, we're goin' on a boat-ride...don't be silly...I'm not 
              gonna have this conversation...look I, I'll call you tomorrow...OK, 
              bye . Never get engaged."
JERRY, You're engaged?
LAURA," You, you really have no idea what it's like until you actually 
              do it and I'm on this emotional roller coaster."
JERRY, You're engaged? 
LAURA," Ya know, I can't believe it myself sometimes. You have to 
              start thinking in terms of ""we"", uh, it's a very stressful 
              situation."
JERRY, You're engaged! 
LAURA," Yeah...yeah, he's a great guy..."
JERRY, Yeah.
LAURA," You'd really like him...ya know, I can't wait to get on 
              that boat."
JERRY, Me too!
,
JERRY," I swear, I have absolutely no idea what women are thinking. 
              I don't get it, OK? I, I, I admit, I, I'm not getting the signals. 
              I am not getting it! Women, they're so subtle, their little...everything 
              they do is subtle...men are not subtle, we are obvious. Women know 
              what men want, men know what men want, what do we want? We want 
              women, that's it!...It's the only thing we know for sure, it really 
              is we want women. How do we get them? Oh, we don't know 'bout that, 
              we don't know. The next step after that we have no idea. This is 
              why you see men honking car-horns, yelling from construction sites. 
              These are the best ideas we've had so far...The car-horn-honk, is 
              that a beauty? Have you seen men doing this? What is this? The man 
              is in the car, the woman walks by the front of the car, he honks 
              "
Cast,
With,
Jerry," So, I'm on line at the supermarket. Two women in front of 
              me. One of"
Audience, Cheque
Jerry," Cheque. Now, the fact is, if it's a woman in front of you 
              that's"
Jerry, What's that one?
Elaine," ""Coccoon II The Return"". I guess they didn't 
              like it up there..."
Jerry," Maybe they came back for Chinese food. Y'know Maureen Stapleton, 
              if"
Elaine," Okay, what're we doing here? I have seen *everything*."
Jerry, Oh yeah? I don't believe you've seen... this.
Elaine," Oh, lovely..."
Jerry, Yeah...
Elaine, What do you think their parents think?
Jerry," ""So, uh, what's your son doing now, Dr. Stevens?"""
Elaine," Y'know what? This would be a really funny gift for Pamela's 
            "
Jerry, Pamela? Do I know her?
Elaine," Yeah, you met her when we were going out."
Jerry," Oh yeah, right..."
Elaine," You have *no* idea who I'm talking about, do you?"
Jerry,  No.
Elaine," Blonde hair remember? Glasses?  Have you *totally* 
              blocked"
Jerry, Riverside Drive.
Elaine," Right! In fact... No, never mind..."
Jerry," Well, what is it?"
Elaine," Well, a bunch of people are getting together tomorrow night 
              at some"
Jerry," Wait a second, wait a second. We could work out a little 
              deal here."
Elaine, What little deal?
Jerry," I will go to that, if you go with me to a little family 
              wedding I "
Elaine," A *wedding*!? Have you *lost* it, man?"
Jerry," Y'know, my parents are coming in for this..."
Elaine, They're coming in?
Jerry," Yeah, tomorrow."
Elaine," Hey, did your father ever get that hair weave?"
Jerry," No, no... Still doin' the big *sweep* across."
Elaine, Why does he do that?
Jerry, Doesn't think anyone can tell?
Jerry," So c'mon, do we have a deal?"
Elaine, A *wedding*?
Jerry, There's a lot of people to mock...
Elaine," Alright, what the Hell."
Jerry, Great!
Woman," When you're dead, you're dead. That's it. You're not goin'"
Elaine," C'mon lets go, c'mon..."
Jerry, Was I supposed to bring something?
Elaine, You could have.
Jerry, I met her *one* time...
Elaine, It is not necessary.
Jerry, What did you say then?
Elaine, Sssshhhhhh!!!
Pamela, Hi
Elaine," Hi Pamela, you remember Jerry."
Pamela," Yes, we met."
Jerry," Hi, happy birthday."
Pamela," Ahh, everybody, this is Elaine and Jerry."
Guests, Hi
Jerry, I didn't bring anything.
Pamela," Ahh, I put you two right here."
Jerry," Oh, Okay  I'm sorry, I didn't know 
              what"
Vanessa, How big a tip do you think it'd take to get him to stop?
Jerry, I'm in for five...
Vanessa, I'll supply the hat.
Jerry,  Uh-oh... What do we have here...
Vanessa, Why don't you relax and take your jacket off?
Jerry," Oh, I can't-- I have a tendency to get chilly."
Vanessa, How masculine...
Jerry," Plus I'm wearing short sleeves, I don't want to expose my 
              tattoos."
Roger,"  Hey, this guy says he knows Bricker..."
Vanessa," Oh, you know Bricker! From where?"
Jerry,"  What's going on here? Gotta be her boyfriend, 
              she's"
Vanessa,  How do you know Pamela?
Jerry, Friend of a friend. And you?
Vanessa, We went to law school together.
Elaine," Oh, Jerry!"
Jerry,"  Oh no, not *now*..."
Elaine, I had this dream last night and you were in it.
Jerry," Oh really...  Oh God, I gotta get out of this..."
Elaine," You were you, but, you weren't you..."
Jerry," No kidding...  Why is this happening? Please, 
              make "
Elaine," I think, I think we were in my house where I grew up, and 
              you were "
Jerry,  This is *brutal*...
Elaine, You turned around and you had these wooden teeth...
Jerry," How do you like that...  Can I turn now? Is 
              this "
Elaine, Jerry? Are you listening to me?
Jerry," Yes, I *heard* you."
Pamela," Elaine, what's the name of that jewelry store you took 
              me to that "
Jerry,"  Thank *you*, Pamela!"
Jerry,"  So, you're a lawyer..."
Vanessa," Sagman, Bennet, Robbins, Oppenheim and Taft."
Jerry,"  Sagman, Bennet, Robbins, Oppenheim 
              and Taft. "
Vanessa," Oh, that was you!"
Jerry," Imagine, spelling ""Mom"" with two O's..."
Vanessa, Very funny! What do you do?
Jerry, Comedian.
Vanessa, Really... That explains it...
Jerry,"  Sagman, Bennet, Robbins, Oppenheim 
              and Taft."
Roger, Are you ready?
Vanessa, We gotta run. Happy birthday!
Jerry,"  I can't believe it-- I got *nothing*! I don't 
              even "
Jerry,"  Sagman, Bennet, Robbins, Oppenheim 
              and "
Jerry," That wasn't so bad, really..."
Elaine," Y'know, uh, you could use a little work on your manners."
Jerry, Why? What did I do?
Elaine," Well, I just don't appreciate these little ""courtesy 
              responses"", "
Jerry, I was listening!
Elaine," No! You couldn't wait to get back to your little... ""conversation""."
Jerry," No, you were talking about the, the um, the dream you had."
Elaine, Uh-huh...
Jerry," Where you had, uh, wooden teeth."
Elaine," No! No! *You* had wooden teeth! *You* had wooden teeth! 
              *I* "
Jerry," Alright, so *I* had wooden teeth, so what?"
Elaine, So nothing... Nothing...
Jerry," Apparently Plato, who came up with the concept of the platonic 
            "
Jerry, Hey!
Morty," Ah, there he is!"
Jerry," This is what I like, see? You come home and your parents 
              are in your"
Helen," Y'know, Jerry, we don't have to do this..."
Jerry," What are you talkin' about? It's fine, I love having you 
              here..."
Helen, Tomorrow we'll go to a hotel.
Jerry," Ma, will you stop?"
Helen," No, why should we take over your apartment?"
Jerry, I don't care-- I'm sleeping next door.
Helen, Your friend Kramer doesn't mind?
Jerry," No, he's making a bouillabaisse."
Jerry," So Dad, lemme ask you a question. How many people work at 
              these big"
Morty, Depends on the firm.
Jerry," Yeah, but if you called up and described someone, do you 
              think they "
Morty, What's the matter? You need a lawyer?
Jerry," No, I met someone at this party, and I know where she works, 
              but I "
Morty, So why don't you ask someone who was at the party?
Jerry," Nah, the only one I could ask is Elaine, and I can't ask 
              her."
Helen, Why not?
Jerry, Because it's complicated-- there's some tension there.
Helen, He used to go with her...
Helen, Which one is she?
Morty," From Maryland. The one who brought you the chocolate covered 
            "
Morty," Oh yeah, very alert. Warm person."
Jerry," Oh yeah, she's great."
Helen," So, how come nothing materialized there?"
Jerry," Well, it's a tough thing to talk about... I dunno..."
Helen, I know what it was...
Jerry, You don't know what it was...
Helen," So, what was it?"
Jerry," Well, we fight a lot for some reason..."
Jerry, And there was a little problem with the physical chemistry...
Helen," Well, I think she's a very attractive girl."
Jerry," Oh, she is, she absolutely is."
Helen, I can see if there was a *weight* problem...
Jerry," No, it's not that. It wasn't all one-sided."
Helen," You know, you can't be so particular. Nobody's perfect."
Jerry," I know, I know..."
Morty," Y'know Jerry, it's a good thing I wasn't so particular."
Helen," Idiot...  So who're you looking for, Sophia Loren?"
Jerry, That's got *nothin'* to do with it.
Morty, How about Loni Anderson?
Helen, Where do you get Loni Anderson?
Morty," Why, what's wrong with Loni Anderson?"
Helen, I like *Elaine* more than Loni Anderson...
Jerry," What are you two talking about? Look, Elaine just wasn't 
              ""the one""."
Helen," And this other one's ""the one""?"
Jerry," I dunno, maybe..."
Morty, So ask Elaine there for the number.
Jerry," I can't-- she'll get upset. I never talk about other women 
              with her,"
Helen, How could you still see her if your not interested?
Jerry, We're *friends*.
Morty," Doesn't sound like you're friends to me. If you were friends 
              you'd "
Jerry, Oh yeah...
Morty," Well, go up to the office."
Helen, Up to her office?
Morty," Go to the building. She goes out to lunch, doesn't she?"
Jerry, I guess...
Morty," So, you stand in the lobby, by the elevator, and wait for 
              her to "
Jerry," You mean ""stakeout"" the lobby?"
Helen," Morty, that's ridiculous. Just ask Elaine for the number!"
Morty, He doesn't want to ask Elaine for the number.
Helen," So you've got him standing by the elevator like a *dope*! 
              What "
Morty, He pretends he *bumped* into her!
Jerry, Y'know what? This is *not* that *bad* an idea...
George, What does she look like?
Jerry, I dunno. Hard to say.
George, What actress does she remind you of?
Jerry, Loni Anderson.
George, Loni Anderson?!
Jerry," What, there's something wrong with Loni Anderson?"
Jerry," Hey listen, thanks again for running over here. I appreciate 
              it."
George," Yeah, sure. I was showing a condo on 48th st. Besides, 
              you think"
Jerry, I'm a little nervous.
George," Yeah, me too..."
Jerry," If I see her, what do I say that I'm doing here in the building?"
George, You came to see me; I work in the building.
Jerry, What do you do?
George, I'm an *architect*.
Jerry, You're an *architect*?
George, I'm not?
Jerry, I don't see architecture comin from you...
George, I suppose *you* could be an architect...
Jerry, I never said that I was the architect. Just somethin' else...
George," Alright, she's not even gonna ask, if we *see* her, which 
              is remote."
Jerry," Well what'dya want me to say, that I just wandered in here?!"
George, We're having lunch with a friend-- he works in the building.
Jerry, What is *his* name?
George, Bert... Har... bin... son. Bert Har-bin-son.
Jerry, Bert Harbinson? It sounds made up.
George," No good? Alright, how about Art... Corr..... "
Jerry, Art Corr...
George, ...velay...
Jerry, Corvelay?
George," Yeah, right."
Jerry," Well, what does *he* do?"
George, He's an importer.
Jerry," Just imports, no exports?"
George," He's an importer/exporter, okay? "
George," Say, did Elaine ever call you back?"
Jerry," No, I guess she's still mad."
George," I don't understand, you never talk to her about other women?"
Jerry, Never.
Jerry, Wait a second... That's her... on the right.
George, I forgot who I am! Who am I?!
Jerry, You're you. We're having lunch with Art Corvelay.
George, Vandelay!
Jerry, Corvelay!
George," Let me be the architect, I can do it!"
Jerry," Hey, hey... Pamela's birthday party, didn't I see you there... 
            "
Vanessa, Sure! Hi!
Jerry, This is George.  I'm sorry...
Vanessa, Vanessa.
George, Nice to meet you.
Jerry," Ah, Sagman, Bennet, Robbins, Oppenheim and Taft."
Vanessa, That's right! What're you doing here?
Jerry," Oh, were meeting a friend of ours for lunch. He works here 
              in the"
George," Yeah, Art *Vandelay*."
Vanessa, Really? Which company?
Jerry, I don't know. He's an importer.
Vanessa, Importer?
George, ...And exporter.
Jerry, He's an importer/exporter.
George," I'm, uh, I'm an architect."
Vanessa, Really. What do you design?
George," Uh, railroads, uh..."
Vanessa, I thought engineers do that.
George, They can...
Jerry, Y'know I'm sorry you had to leave so early the other night.
Vanessa," Oh, me too. My cousin had to go back to Boston."
Jerry," Oh, that guy was your *cousin*!"
Vanessa," Yeah, and that woman was your--"
Jerry, Friend!
George," I'll just, uh, get a paper..."
Jerry," So, um, do you date immature men?"
Vanessa, Almost exclusively...
Helen, Bum bum bum bum... I have no letters... Bum bum bum bum...
Jerry," Ma, will you go already?"
Helen, Bum bum bum bum...
Jerry, What are you doing?!
Helen," Wait, I just want to see something..."
Jerry," You can't look in there, we're playing!"
Morty," Evening, Mr. Kramer!"
Kramer, Hey Morty!  Salad dressing?
Jerry, Look.
Helen," ""Quo""? Is that a word?"
Jerry, Maybe!
Helen, Will you challenge it?
Jerry," Ma, you can't look up words in the dictionary! Dad, she's 
              cheating!"
Kramer," ""Quo""? That's not a word."
Helen,  You're such a stickler...
Jerry," Well put *something* down, you're taking twenty minutes 
              on this."
Helen," They'll be here at two o'clock... Oh, Elaine called. She 
              said "
Jerry, She said *what*?
Helen," Just what I said, here."
Jerry," She knows! Oh, I am *such* a *jackass*..."
Helen, She knows what?
Jerry, She knows the whole stupid thing... Vanessa and the elevator...
Helen," No, no, no, that won't do. He may have a ""Z""..."
Morty," So, how did she find out?"
Jerry," Because, Vanessa probably told Pamela, and Pamela probably 
              told "
Morty," So, what are you? Afraid of her?"
Jerry, Yes. *Yes* *I* *am*!
Jerry, What else did she say on the phone?
Helen, Whatever I wrote down.
Jerry," Yeah, but what was the tone in her voice? How did she sound?"
Helen," Who am I, Rich Little?"
Morty," Well, she can't be too mad-- she's still coming to the wedding."
Jerry," Yeah, but now I'm nervous."
Helen," Oh, stop it."
Jerry," ""Quone""?"
Helen, ...30...31...
Jerry," ""Quone""? No, I'm afraid that I'm going to have 
              to challenge that."
Helen, ...32...
Kramer," No, you don't have to challenge that. That's a word. That's 
              a "
Jerry, I am challenging...
Kramer, Quone to quone something.
Jerry, Uh-huh...
Helen, I'm not playing with you anymore...
Morty, Quone's not a word...
Jerry, No good. Sorry. There it is. Get it off...
Helen, Why did you make me put that down?
