"Season","Episode","Character","Line"
"10","2","Stan","Can't somebody else operate this? I can't really reach.
"
"10","2","Kyle","Hey Stan.
"
"10","2","Stan","Dude, what happened?? 
"
"10","2","Kyle","Yeah!
"
"10","2","Randy","Perhaps... one day... we can learn to drive hybrids without being smug about it, but for now... the technology is just too much for us.
"
"10","2","Cartman","We just can't get rid of you, can we, you sneaky Jew rat!
"
"10","3","Stan","What?? What??
"
"10","3","Randy","JUST GET THE GUN!! 
"
"10","3","Stan","They censored the image of Mohammad? How?
"
"10","3","Kyle","Hehaha, heh.
"
"10","3","Kyle","Since when you care about being sensitive to people's religion, Cartman?!
"
"10","3","Stan","Yeah, you rip on people's religion all the time!
"
"10","3","Cartman","That's different! I'm just a little boy! That's a cartoon! Millions of people watch it! How would you feel, Kyle, if there was a cartoon on television that made fun of Jews all the time?! Huh?!
"
"10","3","Randy","FAMILY GUY!!!  I DAMN YOU TO HELL!!!
"
"10","3","Cartman","Goddamned Family Guy! Now they're just provoking people! It's like they want a holy war!
"
"10","3","Stan","Dude, we can't go anywhere. They've shut down the airports and the buses.
"
"10","3","Cartman","Then we'll ride our Big Wheels.
"
"10","3","Cartman","All right, fine, Kyle. Forget the Muslim faith for a minute. People can get hurt. If ten people die because Family Guy just had to have their little joke, will you still think it's funny?  What if a hundred people died? Will it be funny then, Kyle?  I'm going to Los Angeles. I'm gonna do whatever I can to get that episode pulled before this gets out of hand. Somebody has to speak for the Muslim people. Somebody has to speak for what's right. 
"
"10","3","Kyle","No!
"
"10","3","Kyle","Ike!  This way!  Iiike! 
"
"10","3","Kyle","Look, Cartman, I don't know what's gotten into you, but... I I think it's pretty amazing. And I think it's real. You have to understand why I didn't believe you before.
"
"10","3","Kyle","I got some sound advice... from an old friend. 
"
"10","3","Cartman","It's simple television economics, Kyle. All it takes to kill a show forever is get one episode pulled. If we convince the network to pull this episode for the sake of Muslims, then the Catholics can demand a show they don't like get pulled. And then people with disabilities can demand another show get pulled. And so on and so on, until Family Guy is no more! It's exactly what happened to Laverne & Shirley.
"
"10","3","Cartman","Do you have any idea what it's like?! Everywhere I go, ""Hey Cartman, you must like Family Guy, right?"" ""Hey, your sense of humor reminds me of Family Guy, Cartman.""  I am NOTHING like Family Guy! When I make jokes, they are inherent to a story! Deep, situational and emotional jokes based on what is relevant and has a POINT! Not just one interchangeable joke after another!!
"
"10","3","Cartman","Well then Kyle, I guess we- ...Oh my God, is that Tim McGraw?
"
"10","3","Kyle","Ahhh!
"
"10","3","Randy","It's the best say, Stanley. Did you eat your Fruit Roll-Up?
"
"10","3","Stan","Dad, this is stupid.
"
"10","3","Kyle","No!  AAAAH!  AAAAH! 
"
"10","4","Cartman","I'm gonna do whatever I can... to get that episode pulled before this gets out of hand.
"
"10","4","Kyle","You son of a bitch! I won't let you win!
"
"10","4","Cartman","It's regarding Family Guy. I demand that the Mohammad episode be pulled before it airs tonight! It's incendiary, it's offensive to Muslims, and people can get hurt! It's wrong! It's WROOONG!
"
"10","4","Kyle","What the hell is going on?  Hello?  Excuse me, I need to get to Los Angeles.  Hello?! 
"
"10","4","Kyle","Thanks a lot for the ride.
"
"10","4","Kyle","Look, my fat bastard friend is trying to trick the network into getting Family Guy off the air.
"
"10","4","Cartman","Wha?  What are they?
"
"10","4","Cartman","Why not?
"
"10","4","Cartman","Hello, Kyle. Looks like you've run into a little snag in your plan as well.
"
"10","4","Kyle","Well, a lot of people like Family Guy too! Who are you to decide it shouldn't be on the air?!
"
"10","4","Cartman","Not yet! But I've come up with a new plan. I've learned how to make the Family Guy writing staff stop working! As soon as everyone goes on their lunch break, I can sneak back in.
"
"10","4","Kyle","WHAT?!
"
"10","4","Kyle","Cartman!!  You fucking fatass!
"
"10","4","Kyle","There's still time to tell the network president you're full of CRAP! 
"
"10","4","Cartman","Ow. Quit it, Kyle! Leh- Kyle! Let go- Okay okay come on, time out. Kyle, time out! Time out! Time out.  Time in!  I d-ow! Uh. Ah. Sh-gah. Okay. Okay. Time out! Kyle t-time out! Time out! Time out! Time out! Time out!
"
"10","4","Kyle","Thanks, kid.
"
"10","4","Kyle","No! You have to show Mohammad, Mr. President!
"
"10","4","Kyle","Yes, people can get hurt. That's how terrorism works. But if you give into that, Doug, you're allowing terrorism to work. Do the right thing here.
"
"10","4","Kyle","I wish that was good enough, but if you censor out Mohammad, then soon you'll have to censor out more.
"
"10","4","Cartman","No! No, I hate Family Guy!! 
"
"10","6","Kyle","We know. 
"
"10","6","Kyle","He's half man and half bearpig
"
"10","6","Randy","Boys, there's no such thing as a ManBearPig. The vice president is just desperate for attention.
"
"10","6","Kyle","What?
"
"10","6","Cartman","Hello??
"
"10","6","Kyle","A-all right, let's split up and look for a passageway. E-everyone take a different direction.  Oh man, we're in big trouble here.
"
"10","6","Kyle","Cartman, you okay??  You need help??
"
"10","6","Cartman","I just... I I don't feel very good. I'll just wa-, I'll just weigh you guys down.
"
"10","6","Kyle","They saw us on the tour.  Dude, where do you keep going, Cartman?
"
"10","6","Cartman","Not much. You know, just hangin' out. How've you been, man? Good?
"
"10","6","Stan","Dude, he's really sick. 
"
"10","6","Stan","I can't keep carrying him, dude! I've got no strength!
"
"10","6","Cartman","Yes you do! 
"
"10","6","Kyle","I need your help!
"
"10","6","Cartman","No! No I'm fine!  I just need to get home, a-and rest.
"
"10","6","Cartman","That's right, and I...  Fake treasure?
"
"10","6","Cartman","Eh! 
"
"10","7","Cartman","Sure you do. You're a great mom.Who's got the greatest mom in the world?I dooo.My mom is number one in my heart.It's true!
"
"10","7","Cartman","No thanks, I'd rather naught.
"
"10","7","Cartman","Time out?
"
"10","7","Cartman","Ummm, no?
"
"10","7","Cartman","Well, yeah.
"
"10","7","Cartman","Right, but... if you love children so much, how come you're not a mommy?
"
"10","7","Cartman","KNOCK IT OFF!
"
"10","7","Cartman","Agh! Goddamnit! Aaarrgh! 
"
"10","7","Cartman","Mom, don't you love me? Can't you see I'm unhappy right now?
"
"10","7","Cartman","God dammit stop ignoring me!
"
"10","7","Cartman","Eh, what are you doing? I want chicken! Give me some Goddamned chicken!
"
"10","7","Cartman","Gih-  Okay, I'm fine. I'm cool now. May I have some chicken please?
"
"10","7","Cartman","All right, that's fine! Butters, I'll crash with you.
"
"10","7","Cartman","Hey Jimmy. You're not gonna believe this, but... I ran away from home. I just... I really need the support of my best friend right now.
"
"10","7","Cartman","...Should that really matter at a time like this?
"
"10","7","Cartman","That's super-interesting. But I've been out living in the streets for almost four hours! Make me something to eat.
"
"10","7","Cartman","What is he still doing here?!
"
"10","7","Butters","Kill your mom?
"
"10","7","Stan","Dude, have you lost more weight?
"
"10","7","Cartman","Yes! I've lost almost ten pounds now. You see what I mean?? I totally know how it felt to be a Jew in the Holocaust now! I have to kill my mom. It's my only way out.
"
"10","7","Stan","Where am I supposed to get a gun?
"
"10","7","Cartman","Well I don't know. That's your job, Stan! Do I have to think of everything here?!
"
"10","7","Cartman","Could I... perhaps have... two Mega Rangers?
"
"10","8","Stan","Dude! We've been waiting forever!
"
"10","8","Cartman","Well, I'm sorry, I had to take a dump!
"
"10","8","Randy","Stan!
"
"10","8","Stan","I am socializing, r-tard. I'm logged on to an MMORPG with people from all over the world, and getting XP with my party using TeamSpeak.
"
"10","8","Kyle","Wow, look at all these people playing right now.
"
"10","8","Kyle","Who is that guy?
"
"10","8","Stan","Whoever he is, he is one tough badass.
"
"10","8","Randy","Not now, Nelson. I just joined a big party of night elves and we're gonna explore the Tower of Azora together.
"
"10","8","Cartman","All right, you all login from your computers at precisely 7:30.  We will meet here, on the plains of the elven forest near Westfall. My friends, to victory!
"
"10","8","Cartman","What the hell are you guys doing?? Don't tell me you all quit playing World of Warcraft too?!
"
"10","8","Stan","We can't get to a higher level because that dude doesn't let us finish quests!
"
"10","8","Cartman","That's why we just need to log in and stay in the forest, killing boars.
"
"10","8","Cartman","Keep clicking, Kyle! You can do it!
"
"10","8","Stan","I'm in.
"
"10","8","Stan","15 agility.
"
"10","8","Cartman","Give the cloak to Kenny, he needs the agility boost for bow attacks.
"
"10","8","Stan","Wait, I think I see him. Yeah, yeah, he's here in Goldshire.
"
"10","8","Cartman","Okay, everyone open your uplifts and autolocate to Stan.
"
"10","8","Stan","Okay, he sees us...He's targeted us.
"
"10","8","Cartman","Okay, hit him with pyroblast, Kyle.
"
"10","8","Cartman","Everyone target scorpions.
"
"10","8","Randy","Nn-Oh my God! 
"
"10","8","Kyle","Aaaa...  AH! Huh?! 
"
"10","8","Stan","Kyle!  Kyle! Dude, what's wrong?
"
"10","8","Stan","Kyle, you have to keep playing.
"
"10","8","Randy","Stan?! Stan!  Sharon, where is Stan?!
"
"10","8","Randy","Give me the sword.
"
"10","8","Stan","You can't go to the bathroom, you're stacking sunder armor!
"
"10","8","Cartman","It's okay.  Mom? Bathroom!
"
"10","8","Kyle","I'm out of mana, I told you.
"
"10","8","Stan","I've gotta heal. 
"
"10","8","Randy","Stan! I've been sent here...to bring you this.  This sword can completely drain his mana.
"
"10","8","Stan","Bring up your inventory screen: Control-I...
"
"10","8","Cartman","All right, yay.
"
"10","9","Kyle","Oh God, here we go again! 9/11 was not a conspiracy, fatass!
"
"10","9","Stan","Did they find out who crapped in the urinal yet?
"
"10","9","Kyle","Because anybody who thinks 9/11 was a conspiracy is a retard!
"
"10","9","Butters","From Eric.
"
"10","9","Cartman","For Show and Tell today I have brought...  ...my shocking Powerpoint report on the truth!..  behind the 9/11 attacks! 
"
"10","9","Cartman","Twelve contains the numbers one and two, just like the toilet yesterday where somebody went number two instead of number one! And one and two with 911 and you get 914! Drop the 4 and it's 91! Exactly the score Kyle got on his spelling test twelve days after 9/11! Who has the most to gain from 9/11?! Kyle! Who was nowhere to be found the morning the towers fell?! Kyle! Who dropped the deuce in the urinal?! Kyle! But probably the most damning of all is the evidence seen in this photo of Tower 2!  When I zoomed in I saw what first appeared to be a blur,  but when I computer-enhanced it,  You almost got away with it, you sneaky butthole.
"
"10","9","Randy","How do we know they're not? We need to be brave enough to ask questions! 
"
"10","9","Randy","Godspeed.
"
"10","9","Kyle","Aaaah!
"
"10","9","Stan","Dude, do you mind telling me why CIA guys  are coming to my house and questioning me about you??
"
"10","9","Kyle","Really?
"
"10","9","Stan","Come on. We'll go out the back so they don't see you.  There's just one thing I need to know before we go: you weren't responsible for 9/11, right?
"
"10","9","Kyle","Stan, we can't be seen with this nutjob!  Aw, aw, awww!
"
"10","9","Kyle","No. Way.
"
"10","9","Stan","He was right. You DID cause 9/11.
"
"10","9","Kyle","Yeah... but doesn't it seem like we got out of the White House pretty easily? I mean, it seems like it would be pretty hard to escape from the White House with everyone chasing you, and we just kind of... ran out. 
"
"10","9","Stan","Well dude, maybe we're just super badass. Have you thought of that? 
"
"10","9","Kyle","Do you mind telling us what the hell is going on??
"
"10","9","Stan","Who are you?
"
"10","9","Kyle","Well why don't you just tell people the truth?!
"
"10","9","Kyle","You knew this whole time? Why?
"
"10","9","Stan","Because it was me. I'm the one who took a dump in the urinal.
"
"10","10","Cartman","And so then, I put my finger up my butthole, right? And I walked up to Kelly Nelson, and I said, ""Do you smell lemon grass?"", and she smelled my finger and puked! Hehehehe. Oh, guys, you should have been there.
"
"10","10","Cartman","I'm juh duh duh duhhh! Do you know why you're a hallway monitor?! Because you don't have any friends! You should kill yourself! You should kill yourself!!
"
"10","10","Cartman","The hall monit- me?
"
"10","10","Cartman","There's fear and darkness all around you
The criminals are on the run
No use in not having your hall pass
I'll take you to the principal 'cause I'm the Dawg
I am the Dawg, the big bad Dawg
The Hallway Monitor!
"
"10","10","Cartman","All right, cool, brah. Go with Christ. 
"
"10","10","Cartman","Boyarrrgh!  Ike Broflovski! You littering my hallway, brah?!
"
"10","10","Butters","Haaaah!
"
"10","10","Cartman","I knew it! 
"
"10","10","Kyle","Ike?
"
"10","10","Kyle","I think so.
"
"10","10","Kyle","Hay! He's totally underage. She's taking advantage of him.
"
"10","10","Cartman","What's to understand? You get a boner, slap her titties around some and then stick it inside her and pee.
"
"10","10","Cartman","They what??
"
"10","10","Cartman","Yeah? Well, where's his hall pass?!
"
"10","10","Cartman","You're goin' with Christ! 
"
"10","10","Cartman","I know. It's like a hall pass doesn't even matter to her.
"
"10","10","Kyle","Wow. I think I owe you one, Cartman.
"
"10","10","Kyle","I'm dead to you?
"
"10","10","Kyle","Ike, are you okay?  Ike?  Iiiike! 
"
"10","10","Kyle","Dude, my brother's in Milan. There's nothing I can do.
"
"10","10","Cartman","I'm looking for this teacher! Is she in your room, brah?!
"
"10","10","Kyle","Oh crap! 
"
"10","10","Kyle","Ike, you need to have a life. Have fun. Then ruin it by having a serious relationship. 
"
"10","11","Kyle","I am doing it.
"
"10","11","Cartman","What's the big deal, Kyle? You just look in the mirror, and say the name three times.
"
"10","11","Cartman","Biggie Smalls... Biggie Smalls... This is dumb, you guys, let's do somethin' else.
"
"10","11","Butters","Then do it, if you're not yellow! 
"
"10","11","Cartman","Dude...
"
"10","11","Cartman","You know, escargot, my cargo, one eighteen, sippin' on booze at the House of Blues
"
"10","11","Kyle","He's right. It's just a spook story.
"
"10","12","Cartman","How long until Nintendo Wii comes out now?!
"
"10","12","Cartman","Can't I just stay and... look at the sign a little longer?
"
"10","12","Stan","Dude you don't look so good, Cartman.
"
"10","12","Cartman","I can't take it anymore, you guys. The wait for Nintendo Wii is literally killing me.
"
"10","12","Stan","Do what?
"
"10","12","Cartman","Freeze myself. If I freeze myself, then in three weeks, when Nintendo Wii comes out, you guys can unfreeze me. The wait will seem instantaneous to me.
"
"10","12","Stan","Dude, no way.
"
"10","12","Butters","Well, how come we've gotta come all the way out here?
"
"10","12","Cartman","No, it's not a good idea. It's an awesome idea
"
"10","12","Butters","I got it.  Big Tree. Oval Rock.
"
"10","12","Cartman","Yes. Come on. Freeeze. Freeeze.
"
"10","12","Cartman","What??
"
"10","12","Stan","Couldn't evolution be the answer to how and not the answer to why?
"
"10","12","Butters","Yes! Now the world shall feel the wrath of Professor Chaos! Hahaha!
"
"10","12","Butters","He told me to!
"
"10","12","Butters","What??
"
"10","12","Cartman","So I'm not too late! Come on, let's go!
"
"10","12","Cartman","And this gives me a Nintendo Wii how?
"
"10","12","Cartman","I'm just a little boy from the past who wants to play Nintendo Wii.
"
"10","13","Cartman","Sure. This is Monarch land now. Probably Jarvis probes everywhere.
"
"10","13","Cartman","Yeah. Lucky for me the otters believed I was on their side.  Do me a favor: next time I'm in a recessed biocave, don't send me a level 2 homing call. 
"
"10","13","Cartman","You've gotta be shittin' me!! Science-damnit! I am so fucking sick of the future! 
"
"10","13","Cartman","I care! Where's the closest toy store??
"
"10","13","Cartman","I want one of those time-phone things.
"
"10","13","Cartman","Look, I have to have one of those phones!
"
"10","13","Cartman","Science-damnit!  Wait. K-10, can you access the store's sales records?
"
"10","13","Cartman","Haha! Stupid assholes! I got your time phone! 
"
"10","13","Cartman","What?? Who the hell is this?!
"
"10","13","Cartman","Oh very funny, Kyle!
"
"10","13","Butters","Huh??
"
"10","13","Cartman","What??  Who the fuck is this?!
"
"10","13","Cartman","Are you spying on me?!
"
"10","13","Butters","Oh, all right then.
"
"10","13","Kyle","Suck my balls, fatass.
"
"10","13","Cartman","Who?
"
"10","13","Cartman","Mr. Garrison! Mr. Garrison! 
"
"10","14","Stan","My bike had a busted pedal, but I got it fixed, so there won't be a problem anymore. 
"
"10","14","Stan","All right, all right, shut up! We're gonna practice! You two guys play defense, and you play goalie.
"
"10","14","Stan","NO! 
"
"10","14","Randy","...What? With the-?  What whoa wait, Stan. You gave up playing hockey a long time ago.
"
"10","14","Stan","What are you talking about?
"
"10","14","Randy","Stan, you can't put your family through this again! Whatever your reasons are!
"
"10","14","Randy","Oho, he remembers. I'm sure it eats at him every single day.
"
"10","14","Stan","Oh
"
"10","14","Stan","... I don't know.
"
"10","14","Stan","Oh uh, hey Nelson.
"
"10","14","Stan","Ogh.
"
"10","14","Stan","Okay, great. Look, I, I gotta get to the stadium, but uh... hang in there? All right? 
"
"10","14","Stan","Get near the puck! 
"
"10","14","Stan","How are you feeling?
"
"10","14","Stan","Well, sure we can.
"
"11","1","Kyle","Dude, did your dad know that the show was being broadcast live?
"
"11","1","Stan","Token, my dad wasn't trying to be offensive. Just forget about it.
"
"11","1","Cartman","Token forfeits!  Whites win!  Whites win!  Race war is over, everybody! Whites won again!
"
"11","1","Stan","Dude, Jesse Jackson said it's okay!
"
"11","1","Butters","A midget?
"
"11","1","Cartman","No! Dude! No fucking way!  Dude! 
"
"11","1","Cartman","Barely! 
"
"11","1","Cartman","Look, look how his face gets all red! He's like a little strawberry!
"
"11","1","Randy","Words with venom, words that bind. Words used like weapons to cloud my mind. I'm a person. I'm a man. But no matter how hard I try, people just say ""Hey! There goes that 'nigger' guy.""  Everywhere I go, it's always the same. I can't get away from that terrible name! ""Hey Nigger Guy! Nigger Guy! Nigger Guy!"" Stop! Now go. Call me Nigger Guy! Fill me with your hate! Try to bring me down- Oop up, you're too late. Someone just beat you to it. But my dream will not die: To be thought of as more... than just ""Nigger Guy"".  Respect. 
"
"11","1","Stan","God dammit!
"
"11","1","Randy","Awww! Awwww! 
"
"11","1","Stan","I'm not responsible for what my dad did!
"
"11","1","Randy","We did it!
"
"11","1","Kyle","I don't get it either.
"
"11","1","Stan","Wait a minute. That's it! I don't get it.
"
"11","2","Cartman","Kyyyle!
"
"11","2","Stan","What'cha do to Butters this time?
"
"11","2","Cartman","It was genius! I waited 'til he was totally asleep, right? And then I got my camera, and I pulled down his pants, and then I took a picture of his wiener in my mouth! 
"
"11","2","Cartman","Eh- ...what?
"
"11","2","Cartman","But I'm not g-I'm not gay, you guys!
"
"11","2","Stan","You can't!
"
"11","2","Kyle","Yeah. Then it cancels out the gay polarity.
"
"11","2","Butters","Whoa, hey Eric.
"
"11","2","Cartman","It's so fuckin' awesome. You're gonna be soo stoked. It's the best surprise ever!
"
"11","2","Butters","Y-yeah!
"
"11","2","Cartman","Hang on a second here. 
"
"11","2","Butters","Oh uh, ho yeah.
"
"11","2","Cartman","...I swear on my mother's life, Butters. I am not going to stick anything icky in your mouth. 
"
"11","2","Butters","Hey. Where'd Eric go?
"
"11","2","Kyle","What are you talking about, fatass?
"
"11","2","Kyle","And all the people we tell.
"
"11","2","Butters","Because I'm bi-curious?
"
"11","2","Stan","Aw man, I've got H O R S now. 
"
"11","2","Kyle","Let go of me.
"
"11","2","Stan","What the hell are you doing, Cartman?!
"
"11","2","Cartman","I went home to alter the picture of me with Butters' penis in my mouth to look like Kyle, but it was gone!  What did you do with my picture?!
"
"11","2","Cartman","You shut up! You're lying, and  you two are covering up for him! You know what? You're just like Jews yourselves! Stan, you're a Jew, and Kenny, you're a Jew! You're all Jews!  OW!  OW! AAAAUH!  NYAAAAAAAAAA!
"
"11","2","Butters","He's bi-curious too?
"
"11","2","Cartman","Why... why does that matter?
"
"11","2","Cartman","No, no I was not! I was asleep, and this person just... puts a penis in my mouth without me knowing! And and took the picture!
"
"11","2","Butters","Ah I don't understand. What's wrong with underwear?
"
"11","2","Butters","Well yeah, but I just don't quite understand what you're fixin'.
"
"11","2","Butters","All right. All right that does it!  I am sick and tired of everyone telling me I'm confused! I wasn't confused until other people started tellin' me I was!  You know what I think? I think maybe you are the ones who are confused!
"
"11","2","Butters","No. I like bein' bi-curious.
"
"11","2","Cartman","And this photograph I took of a sunset near the power plant. Note how the contrasting images make a statement about our impact on the Earth. Which brings us to my last picture. Ahem. This picture you may find somewhat... controversial. 
"
"11","3","Cartman","Well who was it?  It was Kenny, right?
"
"11","3","Butters","Yeah! Dumb girls!
"
"11","3","Kyle","It's too late. The treatment would have killed it all.
"
"11","3","Cartman","There's a way! There's a way to find out who had sick-ass head cooties! And I'm gonna find it! 
"
"11","3","Kyle","Nobody's blood is going to jump up in the air!
"
"11","3","Cartman","Kenny!
"
"11","4","Cartman","What's wrong?  Has he been checked for bombs?
"
"11","4","Butters","Now you go, Baahir. 
"
"11","4","Kyle","Yeah?
"
"11","4","Kyle","What? Why?
"
"11","4","Kyle","Over a hundred.
"
"11","4","Cartman","Officer Barbrady, South Park Elementary is in serious danger! 
"
"11","4","Cartman","Whispering, but whispering really loudly for dramatic effect.
"
"11","4","Cartman","Yeah well I don't like it! It doesn't follow!
"
"11","4","Cartman","What?
"
"11","4","Cartman","He just showed up out of the blue! I need to speak with the President right away!
"
"11","4","Cartman","LALALA-I can't hear you! Only the President! LALALALALALA!
"
"11","4","Cartman","Kyle, I'm at the Clinton rally site, but there's no sign of that kid!
"
"11","4","Cartman","It's my balls! 
"
"11","4","Cartman","Why? Did you find something?
"
"11","4","Cartman","Oh dude, I'm, I'm right next to you. 
"
"11","4","Cartman","Big surprise!
"
"11","4","Cartman","Where is the detonator?!
"
"11","4","Kyle","Hey.
"
"11","4","Cartman","You blow in there and you risk taking him down without finding the detonator! I'm going to find out where it is! 
"
"11","4","Kyle","Yes. There's a Russian guy named Vladimir Stolfsky who's got search engine hits all over this thing.
"
"11","4","Butters","Whoopee! I captured another one of your pieces, Baahir. 
"
"11","4","Cartman","Where is the detonator!
"
"11","4","Cartman","Let me go! Please! I am just a little boy!
"
"11","4","Cartman","The Russians?
"
"11","4","Cartman","You can't possible mean...?
"
"11","4","Cartman","But if I hadn't called you in the first place to check out the Muslim, you would have just stayed in bed sick all day, right?
"
"11","4","Cartman","Yes or no, Kyle?!
"
"11","5","Cartman","Nono! You don't ask me questions! You are a rabbit! I am a human. So if you don't bring me what I want for Easter, I can fucking kill you!
"
"11","5","Randy","We have to be careful when we think somebody's onto us.  We are all part of a secret society, Stan. A very ancient, very important society of men who follow the way of the Rabbit, and protect the secret of the Easter bunny. We are called... the Hare Club For Men.
"
"11","5","Stan","I don't understand!
"
"11","5","Randy","Stan, you don't seem to understand how serious this is! The secret of Easter that we protect is something that could rock the foundation of the entire world!
"
"11","5","Stan","Must I?
"
"11","5","Stan","Yeah, I wanna know already.
"
"11","5","Stan","Where am I supposed to go?
"
"11","5","Kyle","...I'm kind of finger painting right now.
"
"11","5","Stan","Dude, they took my Dad away. They even shot one of his fellow hares. And now they're after me!  Do you know anything about Easter? What is the connection between Jesus and rabbits and colored eggs?
"
"11","5","Kyle","Peter Rabbit.
"
"11","5","Kyle","I don't believe it.
"
"11","5","Stan","They found me!
"
"11","5","Stan","Okay, fine. 
"
"11","5","Randy","No! That is not the way we're remembering it!
"
"11","5","Kyle","What?
"
"11","5","Kyle","Don't make me do this.
"
"11","5","Kyle","...Jesus?
"
"11","6","Cartman","Have you lost your mind?
"
"11","6","Butters","But Teacher, my penis never slips out of my pants. Eh-except sometimes when I'm wearin' pajamas.
"
"11","6","Stan","Dude, how are we supposed to read an entire book over the weekend and write an essay?
"
"11","6","Cartman","They'll be done.  ¿Que paso? ¿Que paso?  All right, did you read the book?
"
"11","6","Kyle","Jimmy, did you finish your book report?
"
"11","6","Cartman","Crap! 
"
"11","6","Butters","You have to be careful with scissors.
"
"11","6","Stan","These guys are pretty good.
"
"11","7","Kyle","Really?
"
"11","7","Kyle","Excuse me, this isn't exactly what I had in mind!
"
"11","7","Kyle","God damn it, that wasn't my idea!
"
"11","7","Kyle","You're welcome. 
"
"11","7","Stan","I don't get it. My Dad said as long as nobody gave them money, they'd move on.
"
"11","7","Kyle","Oh c-come on, that can't be why they're all here. There has to be another reason.
"
"11","7","Stan","Kyle, what were you thinking?
"
"11","7","Cartman","Yeah! I can't possibly jump these many homeless people! I won't risk it! I could jump two homeless people, maybe three, but asking me to jump this many is asking me to risk my life, Kyle!
"
"11","7","Randy","Huh! I don't have any change. 
"
"11","7","Randy","Help! Help us!
"
"11","7","Kyle","Oh my God.
"
"11","7","Cartman","You see what you did, Kyle?!
"
"11","7","Stan","There's a bunch of people trapped in the middle of town surrounded by homeless people. W-we can't get to them.
"
"11","7","Cartman","All right, all right, look! I didn't wanna risk it, but... I think I know what to do. I'll try to jump all those homeless and get to the people on that roof.
"
"11","7","Kyle","What's it doing?
"
"11","7","Cartman","Cool.
"
"11","7","Kyle","What about you?
"
"11","7","Cartman","Eh! Stop pushing, Kenny.
"
"11","7","Randy","Those are cherry! Ich!
"
"11","7","Stan","We, just came to ask a question.
"
"11","7","Kyle","Oh God! It wasn't thirty, it was one! He jumped over one homeless person with his stupid skateboard, and he barely made it over that guy!
"
"11","7","Stan","Kyle, knock it off! We're here to find out how to get rid of the homeless, not how many homeless Cartman can jump!
"
"11","7","Cartman","Please, we just want you to tell us how you got rid of the homeless in your town.
"
"11","7","Stan","What?
"
"11","7","Randy","A bus! A bus is coming!
"
"11","7","Cartman","Let's hope to Christ this works. 
"
"11","7","Randy","Oh Glen! We made it!
"
"11","8","Cartman","Dude, that mom is kewl. 
"
"11","8","Cartman","What?
"
"11","8","Cartman","Ohohh, that's awesome. Thank you. Faggot! 
"
"11","8","Cartman","Ahahahaha, ayah- Excuse me everyone, I need to have a moment alone with my good friend Kyle?  Asscheeks!  Kyle, apparently you missed the school assembly yesterday, but I've been diagnosed with a very serious mental condition.
"
"11","8","Cartman","Good morning, Mr. Mackey. Asspussy! 
"
"11","8","Kyle","Will you knock it off already?!
"
"11","8","Kyle","N-no, I'm just saying that I think-
"
"11","8","Cartman","That's right, Kyle.  Crap-filled vagina!
"
"11","8","Kyle","L-look, I was just suggesting that maybe this one person could control what he said, but just didn't, for fun.
"
"11","8","Kyle","Dude...
"
