"Character","Line"
"elaine"," Forget the shower! The shower's out. Move it! Put your 
              clothes on! Put your clothes on! (Pulls out drawers of clothes, 
              turning them over in the suitcase."
"elaine"," No! You have your ticket! You have to go now!"
"elaine"," You're talking too much!"
"elaine"," You didn't bring a brown sweater."
"elaine"," NO time for folding..  I think that's it. 
              "
"",""
"george"," Sperry Rand Building. 14th floor, Morgan Apparel. Mention 
              my name - she'll give you the key."
"jerry"," Alright.. Sixty-fifth and Tenth."
"kramer"," ..The busboy's coming! The busboy's coming!"
"george","I don't understand. Paper Machay hats? "
"george","Any money in it?"
"jerry"," I don't blame you. I blame myself. "
"kramer"," Don't blame me."
"jerry"," I find the whole thing very embarrassing."
"kramer"," When do you pit the sauce on?"
"elaine"," Any other time."
"elaine"," O, your being auditted? What for?"
"elaine"," Oh, wait a minute. Don't tell me that that was ... "
"elaine"," Now you're being audited because of it. You see That's 
              Karma."
"kramer"," &lt;chuckles&gt;"
"jerry"," I don't know. It must be love."
"george"," No, no,"
"george"," Nothing. It's not YOU.."
"george"," Can I uh, can I walk you back to work?"
"jerry"," It's hell. It's the financial equivalent of a complete rectal"
"elaine"," How would you like it if someone told YOU the truth?"
"george"," Like what? What could they say?"
"elaine"," You sure?"
"george"," Yes."
"jerry"," OK, wait a second, wait a second, what happened to my papers? 
            "
"george"," She put them in her pocketbook. I guess she took them with 
              her."
"elaine"," You haven't told him? "
"kramer"," Well, you know, ... it was an accident. "
"elaine"," Who walks into a woman's bedroom without knocking. I want 
              to know!"
"jerry"," Completely naked? "
"kramer"," All right. I'll tell you what. If it's going to make you 
              feel any better you can see me naked. "
"elaine"," No thanks!"
"elaine"," Ehat is this?"
"george"," No, I didn't."
"jerry"," Well, where is she?"
"kramer"," You know what they do in there? Did you see CooCoo's Nest? 
              They put those electrodes in "
"george"," I don't know. "
"jerry"," Can we go out there? "
"elaine"," KRAMER!"
"kramer"," Yeah, yeah, I'll be right there baby."
"elaine"," The Truth!, You want The Truth? "
"george"," All righty, no reason for us to uh, raise our voices. "
"george"," Of course I mean that. I am incapable of guile. "
"jerry"," He's never guiled. You know some women keep a lot of important 
              papers in their, uh, pocket book. "
"kramer"," No, lets go to the couch..."
"kramer"," Hey, Are you going to the hospital now?"
"elaine"," Yeah, I suppose I am. "
"jerry"," You're going by 48th St. You can give me a ride."
"jerry"," I have never seen an old person in a new bathing suit in my life. 
        I don't know where they get their bathing suits, but my father has bathing 
        suits from other centuries. My parents live in Florida, and if you go 
        down there and you forget your bathing suits then they want you to wear 
        one of theirs. You know how that gets? ""You need trunks son? I've 
        got trunks for you. You can wear my trunks."" Fathers don't wear bathing 
        suits, they wear trunks. It's kind of the same thing a tree would wear 
        if it went swimming. So I get in the water with in thing and it's like 
        floating around me somewhere. Did you ever put on a bathing suit that 
        you don't even know exactly where you are inside the bathing suit? You 
        bump into somebody you know ""No I'm parasailing, I'm waiting for 
        the boat to come back."""
"",""
"jerry"," I'm gonna put Elaine's stuff in here."
"elaine"," I can't kick you out of your bed."
"jerry"," Ma."
"jerry"," Not now. She's right inside."
"jerry"," Shh! Nothing, nothing."
"jerry"," Nice to meet you. This is Elaine."
"elaine"," Here, let me see it.  Hey, it 
        wrtites upside down."
"elaine"," Oh man. What is with this bar? It's right in my back. It's killing 
        me."
"elaine"," This bar is right in my back! It's making a dent."
"jerry"," Yes. Generally that's where scuba diving is done."
"elaine"," I don't even know if I can go scuba diving."
"jerry"," We'll stay in a hotel tonight."
"elaine","  Hi Evelyn."
"jerry"," Too thin?"
"jerry"," I never really wanted the pen."
"elaine"," You're not too cold?"
"jerry"," Don't be alarmed."
"jerry"," Is it my imagination or is it freezing in here?"
"jerry"," Take it."
"jerry","  You took too many of those pills."
"jerry","  Uncle Leo."
"jerry"," No, no."
"",""
"jerry"," Hi Evelyn."
"jerry"," Is he on the plane now?"
"jerry"," The dog? The dog??"
"jerry"," Yes, I pick it up."
"jerry"," No, I tried. they don't know anything.  You gotta put the syrup in first."
"jerry"," Two hundred seats on a plane, I gotta wind up next to Yukon Jack and his<br/>
              dog Cujo. Shut up! One more day and you are pound bound!"
