"X","X.1"
"SpongeBob"," One bubble wand, dipped and ready to go.  Could I interest you in some lessons? Only 25 cents."
"Squidward"," Huh? "
"Squidward"," That's not art. That's just annoying. Blowing bubbles, that's the lamest idea I have ever heard.  You should be ashamed of yourselves.  Bubbles.  Art. "
"SpongeBob"," No."
"Squidward"," Technique? Hah! SpongeBob, you don't think I created that  beautiful work of art with your help?  Come on, it's in my genes."
"SpongeBob"," I could use a hand here! "
"Sandy"," You okay, SpongeBob?"
"SpongeBob"," Oh, I didn't have to be a fool to get Sandy's attention. Am I the biggest loser on the beach?! "
"SpongeBob"," I lost my best friend."
"SpongeBob"," ♪Now I learned a lesson I won't soon forget... so listen and you won't regret. Be true to yourself; don't miss your chance... and you won't end up like the fool... who... ripped... his... pants!♪ "
"Sandy"," SpongeBob!"
"Squidward"," Of course you are. Bye now. "
"Squidward"," Oh sure, right! Whatever.  Like that'll ever happen."
"Patrick","  Yeah, you got it, Squidward! Yeah, you're doing it, Squid! See what you've been missing?"
"SpongeBob","  Yeah, you got, Squid!"
"Patrick"," It's in the bag!"
"SpongeBob"," This is really your best day ever, isn't it?"
"Patrick"," Here comes Squidward!"
"SpongeBob"," Oh, great.  Hey Squid! How about that...  ...best day ever?"
"Patrick"," Yup, he's still mad. "
"SpongeBob"," Les hold on a second!  And voila!  It's under your nose! "
"Plankton"," You'll pay for this, Krabs! "
"SpongeBob"," No."
"SpongeBob"," A booster seat? "
"SpongeBob"," Good night, Gary. "
"SpongeBob"," Time for a well-balanced breakfast.  This isn't what I had in mind.  Let me just grab my pants.  I guess I'm not wearing any pants today.  I guess I'm not using the door either. See you later, Gary! ...I guess.  You're right, Gary! There is something wrong with me! Squidward! Squidward! Wake up! I need some help!  Squidward! Help!"
"Plankton"," Nonsense. You never liked me anyway. You wouldn't even come to my birthday party! "
"Plankton"," Don't remind me. Brace yourself SpongeBob. This is my lab!  And this is my laboratory! And did I ever show you my record player? "
"Plankton"," Mmm..."
"Plankton"," Well, this stinks."
"Patrick","  Well, that makes you a big dummy, you dummy!"
"SpongeBob","  Yeah, well, that means that, uhh... so are you!"
"Patrick"," Well, you're still yellow! And you know what else is yellow?"
"SpongeBob"," What?"
"SpongeBob","  Oh, boy, now's my chance! "
"SpongeBob","  Hold on!"
"SpongeBob"," Are you kidding? I've been playing bassinet for years!  Give me an A, buddy!  Squidward is my best friend in the world.  Squidward is my best friend in the sea..."
"Squidward"," Grrrrrryehhhhherrrryeh! "
"Patrick"," Where are ya, ol' buddy?"
"Patrick"," Can I have some now, buddy?"
"SpongeBob"," Wait, I need some more! "
"Patrick","  Hey, Squidward!"
"SpongeBob","  Squidward!"
"Patrick","  Hey, Squidward!"
"SpongeBob","  Squidward!"
"Patrick","  Hey, Squidward!"
"SpongeBob","  Squidward!"
"SpongeBob"," Guess what, Squidward? "
"Squidward"," No! Out! "
"Squidward"," What?"
"SpongeBob"," No, Gary, I'm not walking."
"Patrick","  Get out of bed. "
"SpongeBob","  Okay, now what, Patrick?"
"Patrick"," Patrick SquarePants!"
"SpongeBob"," Pat, don't do that.  I've got too much to worry about."
"Patrick"," Thinking straight is what I do. You drive and I'll do all the thinking for you. "
"SpongeBob"," How are we going to do that? "
"Patrick","  Got your apple ready?  Lucky undergarments? Hold on. Hold on.  Bingo! Underwear, apple, and me. You're ready to get that license. Uh-oh, here comes Mrs. Puff! Act natural. "
"SpongeBob"," Moo."
"Patrick","  Start the boat. "
"SpongeBob"," Mrs. Puff. Mrs. Puff!"
"SpongeBob"," 1924?"
"SpongeBob"," I think I'm cheating."
"Patrick"," What?! "
"SpongeBob"," I'm sorry, Mrs. Puff! I'm sorry!"
"SpongeBob"," Cheating!"
"SpongeBob"," Cheater...! "
"SpongeBob"," Don't worry, Mrs. Puff. I'll try harder next semester.  It'll be great!  Only now I don't even have my bike."
"SpongeBob"," Well, yeah, but..."
"SpongeBob"," Right, back... it up. "
"SpongeBob","  Backing up! Backing up! "
"SpongeBob"," Well, we can still deliver it on foot. "
"SpongeBob"," Shh, shh, shh. It's working."
"Squidward"," He's stopping! He's stopping! "
"Squidward"," Well, I don't!"
"Squidward"," SpongeBob! Let go of the pizza! "
"Squidward"," That way? That way there?  So, let me get this straight... you think that we should go that way?"
"Squidward"," Sponge, we gotta eat something."
"Squidward","  You're right. It's for the customer."
"Squidward"," No, I think I saw something.  Oh, no. I was wrong. It looks okay. Sure is a fine looking pizza."
"Squidward","  Oh, looks good, huh?"
"Squidward","  Get back here, SpongeBob, give me the pizza!"
"Squidward"," Wait! "
"Squidward"," Will you cut that out?!"
"SpongeBob","  No drink?"
"Squidward"," Yep, it is. "
"Patrick","  Is it time already to ruin Squid's day?  Hey, SpongeBob, don't start without me!"
"Squidward","  Yeah..."
"Patrick","  Hey, SpongeBob, your house is gone!"
"Patrick"," Well, sure, it's easy! I built my house all by myself! "
"SpongeBob"," Alright, Patrick, lets get to work! "
"SpongeBob"," Squidward, could we stay here a couple of days or a month or two?"
"SpongeBob"," Yeah, this is a real swell place you got here.  Thanks, buddy."
"SpongeBob"," Don't worry, Squidward. I'll come visit you."
"Squidward","  SpongeBob is leaving. He's leaving, he's leaving!  La, la, la, la, la, la, la ha ha ha ha!  He leaving, ha ha!  SpongeBob is leaving, he's leaving! "
"Squidward"," SpongeBob."
"SpongeBob","  Reflecto has found our secret lab."
"Squidward"," He and Barnacle Boy live in the retirement home on the other side of town."
"SpongeBob"," But you can't retire! There's evil afoot!"
"SpongeBob"," Wow, Mermaid Man and Barnacle Boy."
"SpongeBob"," Excuse me, Mermaid Man."
"Patrick"," Hehehehehe."
"Patrick"," Yeah, we did it. "
"Squidward"," Welcome to the Krusty Krab. My name is Squidward. May I take your order?"
"Squidward"," Daring today, aren't we?  One Krabby Patty, extra onions. "
"Squidward"," We're all out."
"SpongeBob","  But, the pickles should be right where they always are. I know I put them on!  Where are those pickles? Pickles? Pickles? Pickles? "
"Mr. Krabs"," Why don't you take the rest of the day off?"
"SpongeBob"," Wait, this isn't right either.  Nope.  Nuh-uh.  Negative.  C'mon, c'mon! Get it right.  Wrong. Wrong! Wrong! Nope! Naw! Negatory! Nyet!  Aww, I almost had it! Alarm clock. D'oh, how do I turn this thing off? Think, think, think, think!"
"Mr. Krabs"," No! Come back! No! No! Urrgh... I gotta get SpongeBob back!"
"Squidward"," Whoop-de-doo."
"SpongeBob"," Hip hip..."
"SpongeBob"," Classmates! Who am I to deserve such a great honor? Why, I would be nothing without Mrs. Puff."
"SpongeBob"," Aww, tartar sauce. I guess I won't be needing this.  I hardly knew ya. "
"SpongeBob"," Broken traffic light! Who's to say my monitor duties should end just because the bell rang? I can be helpful anywhere! This looks like a job for the hall monitor!  What would this town do without you, SpongeBob?"
"Patrick"," My ice cream! It's alive! "
"SpongeBob"," Patrick! Down here!"
"Patrick"," Hehe, you look funny! Hi, SpongeBob."
"SpongeBob"," That's hall monitor to you!"
"Patrick","  SpongeBob? Come in, SpongeBob. Answer!"
"SpongeBob"," SpongeBob here, Patrick. Report."
"Patrick"," Hurry SpongeBob, I think it's getting...  ...dark."
"SpongeBob"," Just put on your siren and I'll be right there."
"Patrick"," Uhh, he's just standing there... MENACINGLY!  GET OUT OF THERE, SPONGEBOB!  THAT'S HIS MANIAC SHRIEK! HE'S GOING TO ATTACK!  He's acting all crazy! RUN! HIDE BEHIND THAT BUILDING!  NO, HE'S BEHIND THAT BUILDING! OH, QUICK, HIDE BEHIND THAT STREET SIGN!  NO WAIT! THE MANIAC JUST WENT BEHIND THAT SIGN! QUICK! GET UNDER THE STREET LIGHT!  NO WAIT, AGH, HE'S THERE TOO! RUN FOR YOUR LIFE! "
"SpongeBob","  Say again, deputy?"
"SpongeBob"," No he isn't! Watch this! Fetch!  How many fingers am I holding up?  Play dead! "
"SpongeBob"," Quit worrying, Gary. He'll be just fine. Good night everybody. "
"SpongeBob"," Hey, now, that wasn't nice!  Okay, that is it! Everybody out!  Come on Gary!  Gary, you were right. Thanks for not rubbing it in.  Huh? They stopped?  Gary! Don't... stop... shaking it! "
"SpongeBob","  Wow, what are you gonna do with it?"
"Sandy","  I'm going to the moon, SpongeBob!"
"SpongeBob"," Well, how about...  This?  Or this?  Or this?"
"Sandy"," SpongeBob, this isn't for fun.  See this? This is science. I don't have time for games and I don't have time for stowaways. "
"SpongeBob","  Yeah! Goin' to the moon! Moon ride! Moon ride! Moon ride!"
"Sandy","  But this time, just don't touch anything, okay? "
"SpongeBob"," Sandy, Sandy, Sandy. How could you be so naive? There's evidence all around us. How do you explain Atlantis, cow licks, 99¢ stores?  And how about those mysterious circles that pop up in kelp fields over night?  Ah! There's one now!"
"Sandy"," SpongeBob, you don't know the first thing about outer space. Now go home and get some shut eye. Be here tomorrow at the crack of dawn and leave those crazy alien notions behind."
"Patrick"," Well, I know you're going on that moon trip tomorrow, so I just wanted to bring you something."
"SpongeBob"," A present?"
"Patrick"," Look how big it is, SpongeBob!"
"SpongeBob"," It's pretty impressive, all right."
"Patrick"," I opened it, SpongeBob! Come on!  Holy seacow, SpongeBob. This must be the control room."
"SpongeBob"," Yeah, Just don't touch anything. "
"Patrick"," I don't know!  But let's see what this does!"
"SpongeBob"," Patrick, I don't think we should... "
"Sandy","  Oh, SpongeBob... "
"Patrick"," Pardon my French but get this thing off me! "
"SpongeBob"," Nice try, Sandy."
"Mr. Krabs","  ♪Yar-har, Pearl's my daughter, I'll spit in your eye! Yo-ho, Pearl's a whale, and it's her birthday, yar-yar-yar!♪ Ta-da!"
"Mr. Krabs"," Pearl, these are the finest fishin' boots available!"
"SpongeBob","  Oh, uhh, Mr. Krabs, can I get my paycheck?"
"Mr. Krabs","  In the way? These boots never leave my sight! These are the most expensive and prized possessions I own."
"SpongeBob"," Who's that?"
"Mr. Krabs"," Sorry, son, these boots are far too valuable. "
"SpongeBob"," And what if I paint the Krusty Krab for free?"
"Mr. Krabs"," You got a..."
"SpongeBob"," Hey, Squidward. Do you like my new boots? Pretty cool, huh? Now, I'm an official fry cook!"
"Mr. Krabs","  Money, money, money, money, money. Ten, twenty, thirty, forty...  Wha? Who's there?  Back to countin' me money.  One, two, three, four, five...  What the barnacle is that?  Arrgh, that was the worst night I ever weathered. At least I'll have some peace and quiet at work. "
"Squidward"," That's it, Mr. Krabs; I'm taking my vacation now."
"Mr. Krabs"," SpongeBob-Bob-Bob-Bob-Bob-Bob-ob. "
"Mr. Krabs"," SpongeBob? SpongeBob!  Wake up, boy! You're burning me money! "
"Mr. Krabs"," This is the fourth time this week I've had to scrape you off of something."
"SpongeBob"," No offense, Mr. Krabs, but I've been thinking about giving up my cold industrial life in favor of a more natural and free life among the jellyfish. "
"Mr. Krabs","  SpongeBob, wait!  Oh, he'll be back, alright. He'll be back. "
"SpongeBob"," No Sandy, I'm giving up my material possessions to live in the wild with the jellyfish."
"Sandy"," SpongeBob, of all the crazy schemes. Why would you want to live among the jellyfish? They're cold and mean and none too bright. "
"Patrick"," I miss you!  Sandy misses you! Even Squidward misses you! "
"SpongeBob"," I'm happy here. This is my home now. "
"Patrick"," I can see you there!  I still see you!  You're gonna look good on my mantel! Friends forever, SpongeBob!  I got you now, SpongeBob! "
"SpongeBob"," Patrick! No! "
"SpongeBob"," Don't mind if I do. "
"SpongeBob"," Squidward! You need bed rest!  I'll keep you safe until you're well again."
"SpongeBob"," Oh, a game."
"SpongeBob","  Gary! It's Opposite Day and I...  ...walk, don't run. And I'm gonna... opposite... opposite... I'm just gonna crawl into bed and do nothing all day.  Too bad it only comes once a year, huh Gary?"
"Patrick"," It's Patrick!"
"SpongeBob"," Patrick... go away! I never want to see you again! "
"Patrick"," No! What is it?"
"SpongeBob"," Well, whatever you normally do, today you do the opposite."
"Squidward"," Nearly noon and not a peep from SpongeBob!  I'm almost sorry I'm leaving!  Opposite Day.  SpongeBob, what are you... "
"SpongeBob"," I don't get it. I made my house a mess, which was making it clean, which made Squidward clean my yard,  but that really means he's messing it up.  But the opposite of clean is filth, which means filth is clean, that means Squidward is really making my yard a wreck, but I normally wreck my own yard which means,  Squidward is being the opposite of Squidward which means he's SpongeBob!  A-ha! I understand everything now! I must be the opposite of SpongeBob! By being...  Squidward!"
"SpongeBob"," Yeah, everyone says that."
"SpongeBob"," Nonsense! I won't take no for an answer.  Please follow me.  And here's the worst room in the house. My gallery."
"SpongeBob"," I'm Squidward, he's Squidward."
"SpongeBob"," I hear you loud and clear. "
"Patrick"," ...Go!"
"Squidward"," Don't leave me here! "
"Mr. Krabs"," Hmm... I just don't get it. If a free salad bar doesn't bring in customers, what will?!  Squidward!"
"Squidward"," Uh-uh... Yes, sir?"
"SpongeBob"," Aye aye sir! Welcome aboard, sir! Here at the Krusty Krab, you are the captain, and I am your cabin boy. You just say the word and I will throw myself in the brig! May I take your order?"
"Squidward"," What talent could you possibly possess? "
"SpongeBob"," I gotta get ready! "
"SpongeBob"," Oh, yes!"
"Squidward"," "
"Plankton"," You may win this time. She-hah-kazeek!  Well, this stinks. "
"Mr. Krabs"," Squidward!  This show is a disaster! You're ruining me!"
"Squidward"," Now, now, don't you worry, Mr. Krabs. I've saved the best for last, you'll see."
"Squidward"," You bottom feeders! You don't even know talent!"
"SpongeBob"," Hey Squidward, can I go on now?"
"Mr. Krabs"," Can you spot him, Mr. Squidward?"
"Squidward","  Down there, sir! "
"SpongeBob"," Have you seen a Krabby Patty? It's about this tall and...  Wow, a magic shop! Are you a magician? One time, I saw this magician and he did this thing...anyway, and then he told us, If you believe in yourself and with a tiny pinch of magic, all of your dreams can come true. "
"SpongeBob"," I said, you're a-- "
"SpongeBob"," Play with me."
"Plankton"," And?"
"Plankton"," ♪N is for anywhere, anytime at all!♪"
"Mr. Krabs"," Arrgh, mutiny."
"Plankton"," The what? "
"Plankton"," What?"
"Mr. Krabs"," I haven't seen Plankton in a while. He must be scheming."
"SpongeBob"," He's changed, I tell you! "
"Mr. Krabs"," SpongeBob, may I speak to you in private.  You won't mind if I set this here, will you? "
"SpongeBob"," Why cant you just accept our friendship?"
"Plankton"," Oh, yes, but I'm saving my appetite for some popcorn at the movies."
"Mr. Krabs"," Uhh... suit yourself. "
"SpongeBob"," I sure like sequels, Plankton.  Hey, Bubble Bass, you're sitting on my friend.  Hey Bubble Bass! "
"Mr. Krabs"," Listen up! "
"SpongeBob","  I cant believe this!"
"SpongeBob"," But we sang The F.U.N. Song!  I think I'm gonna be sick! How long?"
"SpongeBob"," Aye, aye, Mr. Krabs!"
"Plankton"," "
"Mr. Krabs"," Mother of pearl! "
"Sandy"," Uhh, whatever. Thanks."
"SpongeBob"," I remember when I used to look like you, too.  But, that was a long time ago."
"SpongeBob"," What?"
"Sandy"," Your secret workout. What is it? "
"SpongeBob"," Yeah, your workout routine wasn't quite tough enough for me."
"Sandy"," Can't argue with those results. What you need to do now is put those muscles to the test."
"SpongeBob"," Uhh, well, I'm not sure."
"Sandy"," C'mon, let's go."
"SpongeBob","  Wait, Sandy-- don't sign just yet!"
"Sandy"," "
"SpongeBob"," Sandy, wait...! "
"Sandy"," It's ok, SpongeBob, I already signed your name in."
"Sandy"," Beat that, SpongeBob!"
"SpongeBob"," Oh, this is it. They're all gonna find out I'm a fake. I can't give up. I've got to try. I can do it! I've got Anchor Arms! I'm no wimp, I'm a jerk! "
"SpongeBob"," ...9. 10.  Can you get that?"
"Patrick"," Tartar sauce! "
"Squidward"," Time to find some other game to play! "
"SpongeBob"," No, no, that part goes here."
"Patrick"," Look! "
"SpongeBob"," I don't know how to say it, but our old pal Squidward, he's... He's... He's pushing up daisies!"
"Squidward"," What is the matter with you two?"
"Patrick"," Don't, don't hurt us!"
"SpongeBob"," It was an accident!"
"SpongeBob"," Does that include..."
"Squidward"," Too hot. "
"Squidward"," Perfect. Hmmm, I feel needy.  Slaves, fetcheth me some nourishment."
"SpongeBob"," I can't do it! "
"Squidward"," I don't want to be put to rest! All I want are those chores done. Now, did you clean the back room yet?"
"Squidward"," I didn't say anything like that! Now, get out of my house!"
"SpongeBob"," I wrote Here lies Squidward. You may not remember him, but...  Oh, hi Squidward. Does this look deep enough?"
"Mr. Krabs"," Oh, Squidward, we all came as soon as we were sure you were dead."
"Squidward"," SpongeBob, are you trying to put me in the nuthouse?"
"Squidward"," Do it!"
"Patrick"," You're right. He really needs to get up to the great beyond."
"SpongeBob"," Patrick, say that again."
"Patrick"," No, what you said before when you.."
"SpongeBob"," Never mind. I've got an idea."
"Patrick"," How high's he going to go? "
"SpongeBob"," All the way, Patrick, up to the great beyond.  Goodbye, friend."
"SpongeBob"," Mr. Krabs, what's wrong with Pearl?"
"Mr. Krabs"," No, no baby, no more crying. We'll get you a date. Why, uhh... I'll take you!  Well, what about Squidward? "
"SpongeBob","  — Messed everything up."
"SpongeBob","  Can I still wear the wig?"
"Squidward"," All right, I'll bite. What is it, SpongeBob?"
"Squidward"," Mr. Krabs gives you that award so you'll work harder for no extra money."
"Squidward"," That's right, SpongeBob. I might sneak up on you. "
"Squidward"," I already told you, that award is a bunch of...  ...baloney!"
"Squidward"," I'm telling you for the last time, that award is nothing but a joke! "
"Squidward"," You're a lunatic, SpongeBob!"
"Squidward"," Don't bother; I'll have done it already by the time you get there!"
"Squidward"," No, how about you?"
"Squidward"," SpongeBob! SpongeBob! "
"SpongeBob"," You're right. We should save our energy for work where we really need it. "
"Mr. Krabs"," Boys! Wait! Boys, the Krabby Patties! Boys, wait!"
"SpongeBob"," Okay, Mr. Krabs, the dishes are done, I'm leaving! "
"Mr. Krabs"," Aye, the worst monster of them all."
"SpongeBob"," Okay, maybe just a little."
"Mr. Krabs"," Like I was saying, The Flying Dutchman swoops down and starts stealing people's souls. "
"Mr. Krabs"," Nothing like a good ghost story, eh, me boy? Hope you're not too scared to come to me party tonight, SpongeBob ScaredyPants! "
"Squidward","  Steal your soul. "
"Patrick"," SpongeBob!"
"SpongeBob"," Gary, it's Patrick! I'm going to scare him! It's my turn.  Rawr! "
"Patrick"," Great! You're going as my trick-or-treat bag!"
"SpongeBob"," No, no! I'm the ghost of the Flying Dutchman!"
"Sandy"," Howdy Squidward, I mean, Flying Dutchman. Great party, huh?"
"Squidward"," I don't get it. "
"Patrick"," Are you ready, SpongeBob? "
"SpongeBob"," Okay, Patrick, kill the lights!"
"SpongeBob","  Help! Help!"
"Mr. Krabs"," It's the real Flying Dutchman! "
"Sandy"," SpongeBob!"
"Patrick"," SpongeBob! Are you ready? Are you ready? Are you ready?"
"SpongeBob"," For what?"
"SpongeBob"," Not a Gary...Gary. He's my pet snail.  Say hello! "
"SpongeBob"," Actually, a three day weekend."
"Squidward"," I changed my mind. You guys deserve a weekend away."
"Squidward"," Right, yeah, right.  Jellyfishing! Jellyfishing! So long, losers!  They're gone! "
"Squidward","  Hi, SpongeBob."
"SpongeBob"," Squid, wait! I can't give Gary his plasma. I'm squeamish too."
"SpongeBob"," Ouch! Uh, Squidward, you just injected me with snail plasma."
"Squidward"," Trust me SpongeBob, nothing's going to happen to you. You're fine. "
"SpongeBob"," Don't worry Gary, Squidward says I'll be fine. He knows everything. So, you hungry?"
"SpongeBob"," No, no, Squidward's right. I'm fine. I-I worry too much. It's all in my head. I feel tip-top! "
"Squidward"," "
"SpongeBob"," Meow!  Meow. Meow.  Meow!  Meow. Meow. "
"Squidward"," No, I'm not ready to go! "
"Patrick"," He doesn't wanna play with us."
"SpongeBob"," No, Patrick, he's just not ready.  Ready now?"
"SpongeBob"," Now?"
"SpongeBob"," Now?"
"SpongeBob"," Ready yet?"
"SpongeBob"," I'd love to be at work today! But it's Sunday; the Krusty Krab is closed. "
"Squidward"," A-ha! They're finally gone!  What the...?  Locked?! Oh no! Oh, well, someone will realize I'm gone and come looking for me. I'll be out of here in no time."
"SpongeBob"," Curses! "
"Squidward"," SpongeBob!"
"Mr. Krabs"," Oh, Squidward. I was going through some records back in me office and. Huh? So, you got the hairpiece after all."
"SpongeBob"," Thought you could sneak up on me at work, did ya? Well, you can't! Cause I'm fast, I'm mean, and I can do this!  Ssss!  Took care of her, yes I did.  Oh, ahoy, sir!"
"Mr. Krabs"," Are you on some new allergy medication, boy?"
"SpongeBob"," Aye aye, capi-tay. Nice hairpiece, Squidward. "
"Sandy"," Huh?"
"Mr. Krabs"," Eh?"
"SpongeBob"," Do you think Mr. Krabs ever does karate?"
"Mr. Krabs"," Fire you?  I've got something else in mind. "
"SpongeBob"," No!  Ouch! Where am I?  Is that me? Or is this me? Am I still dreaming?"
"SpongeBob"," Gary! You can talk!"
"SpongeBob","  Gee Gary, you sure are smart."
"Patrick"," Hi SpongeBob."
"SpongeBob","  You know Patrick, this is a dream. You can do anything you want."
"Patrick"," Okay. Bye SpongeBob.  Oh!  Shoot, that was my last quarter. "
"SpongeBob"," Ooh, this is gonna be good!  Psst! Squidward!  Hey, Squidward!"
"SpongeBob"," Trust me, Squidward. "
"SpongeBob"," Hey Sandy! What's going on?"
"Sandy","  Well, we're free-falling from 114,000 feet, and we're gonna land on that itty-bitty target. "
"SpongeBob"," Gotcha! "
"Sandy"," Not a Parakeet! Para-  medic..."
"SpongeBob"," Actually, I was looking for your dad's dream."
"SpongeBob"," What are you talking about?"
"SpongeBob","  Wow! You look real good with a mustache, Mr. Krabs."
"SpongeBob"," Huh?"
"SpongeBob"," Yes, Mr. Krabs?"
"SpongeBob"," Plankton! "
"Plankton"," Peek-a-boo, here comes my foot!  Yeah! Huh?  Yow!"
"Sandy"," SpongeBob!"
"Sandy"," I'm on my way over to take him to the hospital."
"Patrick","  Uh-oh, it's Sandy.  There's no one home."
"Patrick"," This is my mobile home. "
"SpongeBob"," Hiya, Sandy."
"Patrick","  He's mine! "
"SpongeBob"," Mr. Krabs!"
"SpongeBob","  Well, I'm bubbles for you, Sandy. "
"Sandy","  Mmmm, chocolate. Mighty tasty. Patrick's gonna love the one you made for him.  Take me through the plan again."
"Patrick"," SpongeBob, what are you doing in there?"
"SpongeBob"," Patrick!"
"Patrick"," There you are.  Happy Valentine's Day! Here's your present."
"SpongeBob"," And I have a present for you!"
"Patrick"," Is it ready now?"
"SpongeBob"," Not yet."
"Patrick"," Oh, come on, please!"
"SpongeBob"," Hmmm...nope, sorry."
"Patrick","  You got me a carnival? Mine! All mine, mine, mine, mine.  Mine, mine, mine! All right, everybody out! This is my carnival!"
"SpongeBob"," It's not the carnival."
"Patrick"," Oh."
"SpongeBob"," Now take that quarter and buy some cotton candy... "
"SpongeBob"," Ohh, not yet, Sandy. Patrick's still trying to guess what his Valentine is."
"Sandy","  You are such a kidder, Sandy out. That SpongeBob...  Scallops...chocolate-eating scallops!"
"SpongeBob"," Uh, no problem Fran. "
"Patrick"," They didn't get me anything either!  Nope, it's too late for that now... for all of you! "
"Patrick"," Nuh-uh. I'm gonna say this once and I'm not going to say it again, so pay attention. I am not, I repeat, not going to turn around for any reason...ever!"
"Patrick"," Aw SpongeBob, you didn't have to get me anything."
"Squidward"," Now what?"
"Squidward"," ...garbage. "
"Squidward"," Yes! For the final time, I don't want that paper. It's yours forever and ever! "
"Squidward"," Take it, SpongeBob. Take it, please. And promise me, no matter how much I may beg, and plead, and cry, don't give that paper back to me...ever!"
"SpongeBob"," La-la-la-la-la-la-la-la-la-la..."
"SpongeBob"," Yeah, see, you're playing it like this...  ...when ordinarily it goes like this...  I'm partial to doing it in the key of A-minor myself.  Ah, nothing like a duet between buddies, eh, Squidward?"
"SpongeBob"," Sure you did, Squidward, look. "
"SpongeBob"," Wow, pocket lint!  You drive a hard bargain, Squidward. Paper for lint, hmmm..."
"SpongeBob"," Squidward? "
"SpongeBob"," Squidward's shirt. I've always loved that shirt. Okay, okay, I'll trade!  I can break a promise for this. Squidward, do you want your other stuff, cause this is all I'll need?"
"Mr. Krabs"," Have you finished cleaning the tables?"
"SpongeBob","  I already took care of it."
"Mr. Krabs"," Patrick, you're fired!"
"Mr. Krabs","  Shiver me timbers!"
"SpongeBob","  You are a real pirate. Go straight to the ""X"" that marks the spot. You get to dig for treasure Mr. Krabs!"
"Patrick"," I, arrgh, think, arrgh, he's trying, arrgh, to say...!  land..."
"Patrick"," Uhh... let's see, uhh...  that way, captain!"
"Patrick"," I know. "
"SpongeBob"," I'm so loyal, I don't wanna sleep till we find the treasure. Let's go see if the captain will go now!"
"Patrick"," Yeah..."
"SpongeBob"," Patrick, what are you doing?"
"SpongeBob","  Look! It's the ""X""."
"Mr. Krabs"," Well, what are you waiting for lads? Dig! Dig! Dig, dig, dig, dig, dig, dig, dig, dig."
"SpongeBob"," We found it together. So we deserve a share!"
"Mr. Krabs"," All for one."
"SpongeBob"," And one for all."
"SpongeBob"," Let me get my wallet.  Wait, let me check this pocket.  No...  Patrick, do you have any change?"
"Patrick"," Nope."
"SpongeBob","  Lemme check my other poc-"
"SpongeBob"," This isn't your average everyday darkness. This is...advanced darkness. Hey...  if I close my eyes it doesn't seem so dark."
"SpongeBob"," Uhh, Sandy?  Surf's up Sandy!"
"Sandy"," No, thanks. "
"Sandy"," ♪Wish I was back in Texas. The ocean's no place for a squirrel.♪  ♪Wish I was in Texas, prettiest place in the world oh no. I guess that deep in my heart, I'll always be a Texas girl. I wanna go hooooooooooooooome, home.♪ "
"Sandy"," Don't you dare take the name of Texas in vain!"
"SpongeBob","  Oh, so you mean we can't say anything bad about...  Texas!"
"Sandy","  I'm warnin' you, SpongeBob!"
"Patrick"," Get a dog little longie! Get a dog!"
