"Character","Line"
"jerry"," If my father was moving this he'd had to have a cigarette 
              in his mouth the whole way.  Have you got your end?...Your end's got to come down 
              first, easy now, drop it down...drop it down, your end's got to 
              come down."
"george"," Ya know, I can't believe you're bringin' in an extra bed 
              for woman, that wants to sleep with you. Why don't you bring in 
              an extra guy too? "
"jerry","  Look, it's a very awkward situation, 
              I, I don't wanna be presumptuous."
"george"," All right, all right, one more time, one more time! What 
              was the EXACT phrasing of the request?"
"jerry"," All right, she said she couldn't find a decent hotel- room..."
"george"," A decent hotel-room..."
"jerry"," Yeah, a decent hotel-room, would it be terribly inconvenient 
              if she stayed at my place."
"george"," You can't be serious. This is New York city there must 
              be eleven million decent hotel-rooms! Whatta ya need? A flag?  This is the signal, Jerry, this is the signal!"
"jerry","  This is the signal. Thank you, mister Signal, 
              where were you yesterday?"
"george"," I think I was affected by the caffeine.  HO, HO, HO, 
              GOOD DOG "
"kramer","  He really 
              likes you, George."
"george","  Well, that's flattering. "
"kramer","  Oh, he's getting' a drink of water.  Is this for that girl?"
"jerry"," Yeah."
"kramer"," Why even give her an option?"
"jerry"," This is a person I like, it's not ""How to score on 
              spring break""."
"george"," Right, can we go? 'Cause I'm double-parked, I'm gonna get 
              a ticket."
"jerry"," Yeah, OK. Oh, wait a second. Oh, I, I forgot to clean the 
              bathroom."
"george"," So what? That's good."
"jerry"," Now, how could that be good?"
"george"," Because filth is good...Whatta you think rock stars have 
              sponges and ammonia lyin' around the bathroom? They, they have a 
              woman comin' over ""I've gotta tidy up? Yeah right, in these 
              matters you never do what your instincts tell you. Always, ALWAYS 
              do the opposite."
"jerry"," This is how you operate?"
"george"," Yeah, I wish."
"jerry"," Let me just wipe the sink."
"kramer","  WHY EVEN GIVE HER 
              AN OPTION FOR?  It's unbelievable."
"george"," Yeah."
"kramer"," ...How's the real estate-business?"
"george","... It's uh, not bad, it's comin' along...Why? 
              Did you need something."
"kramer"," Do you handle any of that commercial...real estate?"
"george"," Well, I might be getting in to that."
"kramer","  You keep me posted!"
"george"," I'm aware of you, all right, let's go , let's go!  You're on stage in 
              25 minutes."
"jerry"," The dating world is not a fun world...it's a pressure world, 
              it's a world of tension, it's a world of pain...and ya know, if 
              a woman comes over to my house, I gotta get that bathroom ready, 
              'cause she needs things. Women need equipment. I don't know what 
              they need. I know I don't have it, I know that...Ya know what they 
              need, women seem to need a lot of cotton-balls. This is the one 
              I'm, always has been one of the amazing things to me...I have no 
              cotton-balls, we're all human beings, what is the story? I've never 
              had one...I never bought one, I never needed one, I've never been 
              in a situation, when I thought to myself ""I could use a cotton-ball 
              right now""...I can certainly get out of this mess...Women need 
              them and they don't need one or two, they need thousands of them, 
              they need bags, they're like peat-moss bags, have you ever seen 
              these giant bags? They're huge and two days later, they're out, 
              they're gone, the, the bag is empty, where are the cotton-balls, 
              ladies? What are you doin' with them? The only time I ever see'em 
              is in the bottom of your little waste basket, there's two orthree, 
              that look like they've been through some horrible experience... 
              tortured, interrogated, I don't know what happened to them...I once 
              went out with a girl who's left a little zip-lock-baggy of cotton-balls 
              over my house. I don't know what to do with them, I took them out, 
              I put them on my kitchen floor like little tumbleweeds. I thought 
              maybe the cockroaches would see it, figure this is a dead town 
              ""Let's move on""... The dating world is a world of pressure. 
              Let's face it a date is a job-interview, that lasts all night. 
              The only difference between a date and a job-interview is not many 
              job-interviews is there a chance you'll end up naked at the end 
              of it...ya know ""Well, Bill, the boss thinks you're the man 
              for the position, why don't you strip down and meet some of the 
              people you'll be workin' with?""."
"jerry"," Wouldn't it be great if you could ask a woman what she's 
              thinking?"
"george"," What a world that would be, if you just could ask a woman 
              what she's thinkin'."
"jerry"," Ya know, instead, I'm like a detective I've gotta pick 
              up clues, the whole thing is a murder investigation."
"george"," Listen, listen, don't get worked up, 'cause you're gonna 
              know the whole story the minute she steps off the plane."
"jerry"," Really? How?"
"george"," 'Cause it's all in the greeting. "
"jerry"," Uh-huh."
"george"," All right, if she puts the bags down before she greets 
              you, that's a good sign."
"jerry"," Right."
"george"," Ya know, anything in the, in the ""lip-area"" is 
              good."
"jerry"," ""Lip-area""."
"george"," Ya know a hug definitely good."
"jerry"," Hug is definitely good."
"george"," Sure."
"jerry"," Although what if it's one of those hugs where the shoulders 
              are touching, the hips are eight feet apart?"
"george"," That's so brutal, I hate that."
"jerry"," Ya know how they do that?"
"george"," That's why, ya know, a shake is bad."
"jerry"," Shake is bad, but what if it's the ""two-hander""? 
<!-- BeginAd02 --><!-- EndAd -->
              The hand on the bottom, the hand on the top, the warm look in the 
              eyes?"
"george"," Hand-sandwich."
"jerry"," Right."
"george"," I see, well, that's open to interpretation. Because so 
              much depends on the layering and the quality of the wetness in the 
              eyes..."
"jerry"," Hey, hey."
"jerry"," It's good to see you."
"jerry"," This is my friend George."
"george"," Hi, how are you?"
"jerry"," This is Laura."
"george"," Laura, sure."
"jerry","  I can't believe you're here."
"jerry","  Now that was an interesting greeting, 
              did you notice that, George?"
"george"," Yes, the ""surprise-blindfold-greeting"". That 
              wasn't in the manual, I don't know."
"jerry"," So uh, what do ya think?"
"jerry"," Yeah, it kind a motivates me to work on the road...So uh, 
              make yourself at home.  So uh, can I get 
              you anything? Uuhhh, bread, water...salad-dressing?"
"jerry"," Uh, no, yeah, go right ahead. "
"jerry"," Uh, yeah, yeah, sure, why don't you stay? Yeah, uhm...What 
              is your, what is your schedule for tomorrow? Are you, are you doin' 
              anything?"
"jerry"," Really? What would you like to do?"
"jerry","  Yeah, we could do that...why not, why not. 
               I'm just, I'm really glad you're here.  Yeah, hello...yes...yes, she is, hold on. 
               Uhm, it's for you."
"jerry"," You're engaged?"
"jerry"," You're engaged? "
"jerry"," You're engaged! "
"jerry"," Yeah."
"jerry"," Me too!"
"jerry"," I swear, I have absolutely no idea what women are thinking. 
              I don't get it, OK? I, I, I admit, I, I'm not getting the signals. 
              I am not getting it! Women, they're so subtle, their little...everything 
              they do is subtle...men are not subtle, we are obvious. Women know 
              what men want, men know what men want, what do we want? We want 
              women, that's it!...It's the only thing we know for sure, it really 
              is we want women. How do we get them? Oh, we don't know 'bout that, 
              we don't know. The next step after that we have no idea. This is 
              why you see men honking car-horns, yelling from construction sites. 
              These are the best ideas we've had so far...The car-horn-honk, is 
              that a beauty? Have you seen men doing this? What is this? The man 
              is in the car, the woman walks by the front of the car, he honks 
              "
"jerry"," So, I'm on line at the supermarket. Two women in front of 
              me. One of"
"jerry"," Cheque. Now, the fact is, if it's a woman in front of you 
              that's"
"jerry"," What's that one?"
"elaine"," ""Coccoon II The Return"". I guess they didn't 
              like it up there..."
"jerry"," Maybe they came back for Chinese food. Y'know Maureen Stapleton, 
              if"
"elaine"," Okay, what're we doing here? I have seen *everything*."
"jerry"," Oh yeah? I don't believe you've seen... this."
"elaine"," Oh, lovely..."
"jerry"," Yeah..."
"elaine"," What do you think their parents think?"
"jerry"," ""So, uh, what's your son doing now, Dr. Stevens?"""
"elaine"," Y'know what? This would be a really funny gift for Pamela's 
            "
"jerry"," Pamela? Do I know her?"
"elaine"," Yeah, you met her when we were going out."
"jerry"," Oh yeah, right..."
"elaine"," You have *no* idea who I'm talking about, do you?"
"jerry","  No."
"elaine"," Blonde hair remember? Glasses?  Have you *totally* 
              blocked"
"jerry"," Riverside Drive."
"elaine"," Right! In fact... No, never mind..."
"jerry"," Well, what is it?"
"elaine"," Well, a bunch of people are getting together tomorrow night 
              at some"
"jerry"," Wait a second, wait a second. We could work out a little 
              deal here."
"elaine"," What little deal?"
"jerry"," I will go to that, if you go with me to a little family 
              wedding I "
"elaine"," A *wedding*!? Have you *lost* it, man?"
"jerry"," Y'know, my parents are coming in for this..."
"elaine"," They're coming in?"
"jerry"," Yeah, tomorrow."
"elaine"," Hey, did your father ever get that hair weave?"
"jerry"," No, no... Still doin' the big *sweep* across."
"elaine"," Why does he do that?"
"jerry"," Doesn't think anyone can tell?"
"jerry"," So c'mon, do we have a deal?"
"elaine"," A *wedding*?"
"jerry"," There's a lot of people to mock..."
"elaine"," Alright, what the Hell."
"jerry"," Great!"
"elaine"," C'mon lets go, c'mon..."
"jerry"," Was I supposed to bring something?"
"elaine"," You could have."
"jerry"," I met her *one* time..."
"elaine"," It is not necessary."
"jerry"," What did you say then?"
"elaine"," Sssshhhhhh!!!"
"elaine"," Hi Pamela, you remember Jerry."
"jerry"," Hi, happy birthday."
"jerry"," I didn't bring anything."
"jerry"," Oh, Okay  I'm sorry, I didn't know 
              what"
"jerry"," I'm in for five..."
"jerry","  Uh-oh... What do we have here..."
"jerry"," Oh, I can't-- I have a tendency to get chilly."
"jerry"," Plus I'm wearing short sleeves, I don't want to expose my 
              tattoos."
"jerry","  What's going on here? Gotta be her boyfriend, 
              she's"
"jerry"," Friend of a friend. And you?"
"elaine"," Oh, Jerry!"
"jerry","  Oh no, not *now*..."
"elaine"," I had this dream last night and you were in it."
"jerry"," Oh really...  Oh God, I gotta get out of this..."
"elaine"," You were you, but, you weren't you..."
"jerry"," No kidding...  Why is this happening? Please, 
              make "
"elaine"," I think, I think we were in my house where I grew up, and 
              you were "
"jerry","  This is *brutal*..."
"elaine"," You turned around and you had these wooden teeth..."
"jerry"," How do you like that...  Can I turn now? Is 
              this "
"elaine"," Jerry? Are you listening to me?"
"jerry"," Yes, I *heard* you."
"jerry","  Thank *you*, Pamela!"
"jerry","  So, you're a lawyer..."
"jerry","  Sagman, Bennet, Robbins, Oppenheim 
              and Taft. "
"jerry"," Imagine, spelling ""Mom"" with two O's..."
"jerry"," Comedian."
"jerry","  Sagman, Bennet, Robbins, Oppenheim 
              and Taft."
"jerry","  I can't believe it-- I got *nothing*! I don't 
              even "
"jerry","  Sagman, Bennet, Robbins, Oppenheim 
              and "
"jerry"," That wasn't so bad, really..."
"elaine"," Y'know, uh, you could use a little work on your manners."
"jerry"," Why? What did I do?"
"elaine"," Well, I just don't appreciate these little ""courtesy 
              responses"", "
"jerry"," I was listening!"
"elaine"," No! You couldn't wait to get back to your little... ""conversation""."
"jerry"," No, you were talking about the, the um, the dream you had."
"elaine"," Uh-huh..."
"jerry"," Where you had, uh, wooden teeth."
"elaine"," No! No! *You* had wooden teeth! *You* had wooden teeth! 
              *I* "
"jerry"," Alright, so *I* had wooden teeth, so what?"
"elaine"," So nothing... Nothing..."
"jerry"," Apparently Plato, who came up with the concept of the platonic 
            "
"jerry"," Hey!"
"jerry"," This is what I like, see? You come home and your parents 
              are in your"
"jerry"," What are you talkin' about? It's fine, I love having you 
              here..."
"jerry"," Ma, will you stop?"
"jerry"," I don't care-- I'm sleeping next door."
"jerry"," No, he's making a bouillabaisse."
"jerry"," So Dad, lemme ask you a question. How many people work at 
              these big"
"jerry"," Yeah, but if you called up and described someone, do you 
              think they "
"jerry"," No, I met someone at this party, and I know where she works, 
              but I "
"jerry"," Nah, the only one I could ask is Elaine, and I can't ask 
              her."
"jerry"," Because it's complicated-- there's some tension there."
"jerry"," Oh yeah, she's great."
"jerry"," Well, it's a tough thing to talk about... I dunno..."
"jerry"," You don't know what it was..."
"jerry"," Well, we fight a lot for some reason..."
"jerry"," And there was a little problem with the physical chemistry..."
"jerry"," Oh, she is, she absolutely is."
"jerry"," No, it's not that. It wasn't all one-sided."
"jerry"," I know, I know..."
"jerry"," That's got *nothin'* to do with it."
"jerry"," What are you two talking about? Look, Elaine just wasn't 
              ""the one""."
"jerry"," I dunno, maybe..."
"jerry"," I can't-- she'll get upset. I never talk about other women 
              with her,"
"jerry"," We're *friends*."
"jerry"," Oh yeah..."
"jerry"," I guess..."
"jerry"," You mean ""stakeout"" the lobby?"
"jerry"," Y'know what? This is *not* that *bad* an idea..."
"george"," What does she look like?"
"jerry"," I dunno. Hard to say."
"george"," What actress does she remind you of?"
"jerry"," Loni Anderson."
"george"," Loni Anderson?!"
"jerry"," What, there's something wrong with Loni Anderson?"
"jerry"," Hey listen, thanks again for running over here. I appreciate 
              it."
"george"," Yeah, sure. I was showing a condo on 48th st. Besides, 
              you think"
"jerry"," I'm a little nervous."
"george"," Yeah, me too..."
"jerry"," If I see her, what do I say that I'm doing here in the building?"
"george"," You came to see me; I work in the building."
"jerry"," What do you do?"
"george"," I'm an *architect*."
"jerry"," You're an *architect*?"
"george"," I'm not?"
"jerry"," I don't see architecture comin from you..."
"george"," I suppose *you* could be an architect..."
"jerry"," I never said that I was the architect. Just somethin' else..."
"george"," Alright, she's not even gonna ask, if we *see* her, which 
              is remote."
"jerry"," Well what'dya want me to say, that I just wandered in here?!"
"george"," We're having lunch with a friend-- he works in the building."
"jerry"," What is *his* name?"
"george"," Bert... Har... bin... son. Bert Har-bin-son."
"jerry"," Bert Harbinson? It sounds made up."
"george"," No good? Alright, how about Art... Corr..... "
"jerry"," Art Corr..."
"george"," ...velay..."
"jerry"," Corvelay?"
"george"," Yeah, right."
"jerry"," Well, what does *he* do?"
"george"," He's an importer."
"jerry"," Just imports, no exports?"
"george"," He's an importer/exporter, okay? "
"george"," Say, did Elaine ever call you back?"
"jerry"," No, I guess she's still mad."
"george"," I don't understand, you never talk to her about other women?"
"jerry"," Never."
"jerry"," Wait a second... That's her... on the right."
"george"," I forgot who I am! Who am I?!"
"jerry"," You're you. We're having lunch with Art Corvelay."
"george"," Vandelay!"
"jerry"," Corvelay!"
"george"," Let me be the architect, I can do it!"
"jerry"," Hey, hey... Pamela's birthday party, didn't I see you there... 
            "
"jerry"," This is George.  I'm sorry..."
"george"," Nice to meet you."
"jerry"," Ah, Sagman, Bennet, Robbins, Oppenheim and Taft."
"jerry"," Oh, were meeting a friend of ours for lunch. He works here 
              in the"
"george"," Yeah, Art *Vandelay*."
"jerry"," I don't know. He's an importer."
"george"," ...And exporter."
"jerry"," He's an importer/exporter."
"george"," I'm, uh, I'm an architect."
"george"," Uh, railroads, uh..."
"george"," They can..."
"jerry"," Y'know I'm sorry you had to leave so early the other night."
"jerry"," Oh, that guy was your *cousin*!"
"jerry"," Friend!"
"george"," I'll just, uh, get a paper..."
"jerry"," So, um, do you date immature men?"
"jerry"," Ma, will you go already?"
"jerry"," What are you doing?!"
"jerry"," You can't look in there, we're playing!"
"kramer"," Hey Morty!  Salad dressing?"
"jerry"," Look."
"jerry"," Maybe!"
"jerry"," Ma, you can't look up words in the dictionary! Dad, she's 
              cheating!"
"kramer"," ""Quo""? That's not a word."
"jerry"," Well put *something* down, you're taking twenty minutes 
              on this."
"jerry"," She said *what*?"
"jerry"," She knows! Oh, I am *such* a *jackass*..."
"jerry"," She knows the whole stupid thing... Vanessa and the elevator..."
"jerry"," Because, Vanessa probably told Pamela, and Pamela probably 
              told "
"jerry"," Yes. *Yes* *I* *am*!"
"jerry"," What else did she say on the phone?"
"jerry"," Yeah, but what was the tone in her voice? How did she sound?"
"jerry"," Yeah, but now I'm nervous."
"jerry"," ""Quone""?"
"jerry"," ""Quone""? No, I'm afraid that I'm going to have 
              to challenge that."
"kramer"," No, you don't have to challenge that. That's a word. That's 
              a "
"jerry"," I am challenging..."
"kramer"," Quone to quone something."
"jerry"," Uh-huh..."
"jerry"," No good. Sorry. There it is. Get it off..."
"kramer"," Nah, we need a *medical* dictionary! If a patient gets 
              difficult, "
"jerry"," You must have quite a time down there. "
"jerry"," Oh, I'm sorry. I'm just waiting for someone..."
"jerry"," Yeah, yeah..."
"jerry"," Yeah, Uncle Mac, you mentioned it..."
"jerry"," That's perfect.  Could you excuse me one 
              second. "
"jerry"," How do you do, Jerry Seinfeld."
"elaine"," Oh, how do you do. Elaine Benes."
"jerry"," Um, do you want to do this now, or do you want to wait until 
              we get"
"elaine"," Oh no, let's do it now."
"jerry"," Alright, the whole elevator business, let me just explain--"
"elaine"," Okay..."
"jerry"," No, I'm gonna take my car."
"jerry"," Anyway, you know why I didn't ask you, I mean I felt so 
            "
"elaine"," Well, Jerry, I never saw you flirt with anyone before. 
              It was "
"elaine"," Oh, bye. Good to see you."
"jerry"," Oh, I'm sorry. Elaine, this is my cousin Artie Levine."
"jerry"," Yeah, ""Le*vine*"". And I'm Jerry Cougar Mellencamp... 
              Anyway, I "
"elaine"," Yeah, obviously."
"jerry"," I mean, if we're gonna be friends, we gotta be able to talk 
              about"
"elaine"," Couldn't agree more."
"jerry"," Good."
"elaine"," Good."
"jerry"," Good."
"elaine"," Great!"
"jerry"," Great? Where do you get ""great""?"
"elaine"," It's great to... talk about... other people..."
"jerry"," ...Guys."
"elaine"," Yeah."
"jerry"," Uh-huh... Yeah... So, anybody specific?"
"elaine"," No. A general guy."
"jerry"," Oh *really*... Elaine Marie Benes..."
"elaine"," What? No, it's not a big deal."
"jerry"," No, that's great! That's terrific!"
"elaine"," No, we just met..."
"jerry"," Doesn't matter. What's the young man's name? I would like 
              to "
"elaine"," I don't think so..."
"jerry"," Well, what does he do? Is he an artisan, a craftsman, a 
              labourer "
"elaine"," Wall street."
"jerry"," Ahh, high finance bulls... bears... people from Conneticut."
"elaine"," And he happens to be pretty good lookin'"
"jerry","  Alright, sir."
"elaine"," And... he's *hilarious*."
"jerry"," Now that's not fair! So where did you meet this guy?"
"elaine"," I ""staked"" out his health club."
"jerry"," When you're on a stakeout, do you find it's better to stand 
              up "
"jerry"," Y'know I think that even if you've had a relationship with 
              someone,"
"jerry"," So I move into the centre lane, now I get ahead of this"
"jerry"," Is that it? Got the cue tips, got the mini-umbrella,"
"elaine","  That is the single greatest packing"
"jerry","  I am...the master packer."
"elaine","  Yeah, right, you're the master packer."
"jerry"," What you must understand, Elaine, [picks up the"
"elaine"," 'Scuse me...master packer!"
"jerry"," ...Yes."
"elaine"," Just gimme your keys."
"jerry"," Alright, sir. [tosses Elaine his keys; apartment buzzer"
"george","  Yeah"
"elaine","  OK, so, now, is there anything"
"jerry"," uh, yeah, the uuhh, hot water takes a little while to"
"elaine"," OK, this is quite a place."
"jerry"," There's more, the refrigerator.  Deduct a"
"elaine"," I'll eat out."
"jerry"," One more thing, Benes, regarding sexual activity"
"george","  Ready?"
"jerry"," Yeah, one sec."
"george","  Hey, Elaine"
"elaine"," Hi."
"george"," Coming to the airport with us?"
"elaine"," No, I'm staying here for the weekend. I'm getting a"
"george"," Oh, the actress-waitress."
"elaine"," No, the waitress-actress. She just got some part in"
"george"," You just kick her out."
"elaine"," She's on the lease!...George you have got to find an"
"george"," Yeah, well...a little ruff finding something good in"
"jerry"," I'm not looking."
"george"," No no no, this one's different, this one's a beauty!"
"jerry"," Yeah, what's it like?"
"george"," I haven't seen it yet, but it's a ""two-bedroom"", 
              it's"
"jerry"," How much?"
"george"," Uh, twice what you pay in here, but it's a great"
"jerry"," Two bedrooms? Why do I need two bedrooms? I got enough"
"elaine"," You oughtta least take a look at it."
"jerry"," Really? Why?"
"elaine"," 'Cause then I could move in here."
"jerry"," Ooohhhh"
"elaine"," It's time you got out a here anyway."
"george"," Yeah, tell'm, but quickly, I'm double parked here."
"elaine"," Listen, Jerry, this place is falling apart. You have"
"george"," Let's not forget the radiator, the steam has been on"
"elaine"," Jerry, come on, you're doin' OK now, you should at"
"jerry"," Like this? You just said, you wanted to live here."
"elaine"," Well, for me it's a step up. It's like moving from"
"george"," Jerry, what do ya...you wanna...you wanna see the"
"jerry"," I can't think about it now. Come on, I'm going to"
"jerry"," Elaine! [puts his bags down, sits down on the couch,"
"jerry","  ELAINE!"
"elaine","  JERRY! "
"jerry"," Great, I had fun, where's the TV, where's the VCR."
"elaine"," They were stolen."
"jerry"," Stolen? When?"
"elaine"," A couple a hours ago, the police are coming right"
"jerry"," Stolen?"
"elaine","  Someone left the door"
"jerry","  You left the door open?!"
"kramer"," Uh, Jer, well ya know, I was cookin' and I, I uh, I"
