"X","X.1"
"Mr. Krabs"," That was the finest fast-foodsmanship I've ever seen, Mr. SquarePants! Welcome aboard! "
"Squidward"," B-but, but Mr. Krabs..."
"Mr. Krabs"," Three cheers for SpongeBob! Hip-hip!"
"Squidward","  Hooray, Mr.-"
"Mr. Krabs"," Hip-hip!"
"Squidward","  Hooray. M-"
"Mr. Krabs"," Hip-hip!"
"Squidward","  Hooray. Mr. Krabs!"
"Mr. Krabs"," I'll be in my quarters, counting up the booty. "
"Patrick"," Good morning, Krusty Krew!"
"Squidward"," What would you like to order, Patrick?"
"Patrick"," One Krabby Patty, please. "
"Patrick"," "
"Squidward"," Mr. Krabs! Mr. Krabs!  Mr. Krabs, come see your new employee!"
"SpongeBob","  Wow, four stingers.  Where have I seen this before?  Here it is!  Land squirrel.  That little squirrel is in trouble. "
"SpongeBob"," Hooray, land squirrel!  Look out!  Hold on, little squirrel!  You have fought well, giant clam. Prepare to be vanquished! Hai!  Hey, I'm actually doing it.  Your shell is mine!"
"Sandy"," Hold on there, little square dude! "
"SpongeBob"," Hey, you like karate too!  So, uhh, what's your name?"
"Sandy"," Sandy.  So what do y'all call yourself?"
"SpongeBob","  I'm SpongeBob! "
"Sandy"," Well SpongeBob, take a gander at this! "
"SpongeBob"," Oh. Oh yeah? Watch this! "
"Sandy"," I like you, SpongeBob. Why, we could be tighter than bark on a tree. Hi-yah!"
"SpongeBob"," Uh, I like you too, Sandy. Hi-yah!  Ow. Say, what is that thing on your head?"
"Sandy"," Why, that's my air helmet."
"SpongeBob"," May I try it on?"
"Sandy"," Heck no. I need it to breath! I gotta have my air."
"SpongeBob"," Me too! I love air! Air is good."
"Sandy"," No kidding?"
"SpongeBob"," Why, ""air"" is my middle name! The more air, the better! Can't get enough of that air."
"Sandy"," Shee-oot. How about coming over tomorrow for tea and cookies then?  Don't be late!"
"SpongeBob"," Okay, see you tomorrow.  Patrick! Patrick! Patrick, Patrick, Patrick! What's air?"
"Patrick"," Huh?"
"SpongeBob"," I just met this girl! She wears a hat full of... air!"
"Patrick"," Do you mean she puts on ""airs""?"
"SpongeBob"," I guess so."
"Patrick"," That's just fancy talk. If you want to be fancy, hold your pinky up like this! The higher you hold it, the fancier you are!"
"SpongeBob","  How's that?"
"Patrick"," Higher!"
"SpongeBob"," Like that?"
"Patrick"," Now that's fancy! They should call you SpongeBob FancyPants!  Remember When in doubt, pinky out. You can do it, SpongeBob. I'll be watching."
"SpongeBob"," Thanks pal. "
"Sandy"," Hello?"
"SpongeBob"," Hi-ya, Sandy. Its me, SpongeBob!"
"Sandy"," Hold on a sec, I'll let you in."
"SpongeBob","  Sandy! Sandy! Open up! Sandy! Sandy!  Sandy, something's gone terribly wrong. There's no water in...  ...here."
"Sandy"," Course there's no water. Nuttin' but air."
"SpongeBob","  No water?"
"Sandy"," That ain't a problem, is it? Hi-yah!"
"SpongeBob"," Problem?  Hi-yah! That's how I like my air!  With no water."
"Sandy","  Well, alright. I made Texas tea and cookies. Well, come on in! Hi-yah!  That's not in. In!  You're a funny little dude. Come on, I'll give you the grand tour.  This is my own private little air bubble. This air is the driest...  ...purest...  ...most airiest air in the whole sea. Oh, over there's my birdbath.  And that's my oak tree.  It provides me with extra air. This dome is made of the finest polyurethane, that's a fancy word for plastic. Ain't that just the bees knees?  Tell you what, weren't easy getting here neither. First, I...  ...that's my treadmill. That's how I stay in tip-top shape. Well, come on. Lets have that tea now. "
"Patrick"," Pinky! Pinky!"
"SpongeBob","  I brought you some flowers."
"Sandy","  For me? How sweet!  You okay?"
"SpongeBob","  Yes, I'm okay."
"Sandy"," You know, you're the first sea critter to ever visit."
"SpongeBob"," I cant imagine why."
"Sandy"," Can I get you anything?"
"SpongeBob"," Water would be nice."
"Sandy"," I'm gonna to put these in a vase."
"SpongeBob"," Take your time.  I gotta get out of here! Aaaaahh! "
"Sandy","  I like you, SpongeBob. We could be tighter than bark on a tree!"
"Patrick","  When in doubt, pinky out."
"SpongeBob","  I don't need water! Water's for quitters! I don't need it! I don't need it! I don't need it! I don't need it, I don't need it... "
"Sandy"," Why, these flowers are just beautiful!  They'll last much, much longer in a vase full of ice, cold water.  So tell me about yourself.  It must be fascinating being a sea critter.  SpongeBob?  Oh, there's the cookies.  Be right back."
"SpongeBob","  I don't need it, I don't need it, I definitely don't need it.  I don't need it.  I don't need it.  I don't need it.  I don't need it.  I NEED IT!!!!! "
"Patrick"," No, SpongeBob! No, no, no, stop! Pinky! Pinky!"
"SpongeBob","  I'm a quitter! "
"Patrick","  You can't leave now! You'll blow it!"
"SpongeBob","  Air is not good, Patrick! Air is not good!"
"Patrick","  You're just being shy.  Don't worry, buddy. You're doing fine.  I won't let you blow... this.  What kind of place is this?!  There's no water in here!"
"SpongeBob","  I tried to tell you!"
"Patrick"," We've got to get out of here!"
"SpongeBob"," You're... doing it... wrong..."
"Patrick"," Wait, no! We've got... to get... out. "
"Sandy","  Come and get it! Y'all gonna like this..."
"Sandy"," There, that ought to do it! If y'all needed water, you shoulda' asked.  I propose a toast, to new friends!  Hold on a second.  I hope you like your tea strong. Drink up! "
"SpongeBob","  Ahh, what a wonderful day. The sun is out, the water is shimmering, scallops are chirping. So peaceful. "
"Squidward"," Can we lower the volume, please? I can't work with all that racket going on!"
"SpongeBob"," Oh, sure thing, Squidward."
"Squidward"," Yes. Mmm. Right. Mmm."
"SpongeBob"," Okay. "
"Squidward"," And now... for some soothing sounds from Squidward's clarinet. Thank you, thank you. "
"Squidward"," I thought I... Wha?"
"SpongeBob"," Hey, Squidward! Wanna blow some bubbles? Only 25 cents."
"Squidward"," Oh, right. Like I would spend a moment of my time blowing bubbles."
"SpongeBob"," Uh huh!"
"Squidward"," Oh, puh-lease! I mean, who in the world would pay to blow bubbles? "
"Patrick"," Good morning! "
"Squidward"," Oh, boy. "
"SpongeBob"," Good morning to you, sir. Would you care to blow a bubble?"
"Patrick"," Hmm, how much is it?"
"SpongeBob"," Only a quarter."
"Patrick"," Sounds reasonable.  Uh, I'm going to need to borrow a quarter."
"SpongeBob"," Sure thing, Patrick. "
"Patrick"," Ah, one quarter. "
"SpongeBob"," Thank you. "
"Squidward"," Hmm, business is booming.  How did I ever get surrounded by such loser neighbors? Uh huh. "
"SpongeBob"," One bubble wand, dipped and ready to go.  Could I interest you in some lessons? Only 25 cents."
"Patrick"," Uh, very well, then. Hey, Sponge, can I borrow another quarter?  Thanks. "
"SpongeBob"," Okay, Patrick, it's all in the technique!  First go like this, spin around. Stop! Double take three times one, two, three. Then pelvic thrust! Whoooo! Whooooooo! Stop on your right foot, don't forget it! Now it's time to bring it around town. Bring-it-a-round-town. Then you do this, then this, and this, and that, and-this-and-that-and-this-and-that, and then... "
"Patrick"," Oooh.  Ah! "
"Squidward"," Huh? "
"SpongeBob"," And now... with two hands! "
"Patrick","  It's a giraffe! "
"SpongeBob"," Excuse me, sir, but we are clo-"
"Squidward"," Don't give me any of that! How can you two possibly make all this noise just blowing bubbles?!"
"SpongeBob"," We're not just blowing bubbles. We're making bubble art! Watch carefully.  First go like this, spin around. Stop! Double take three times one, two, three. Theeeen pelvic thrust! Whoooo! Whooooooo! Stop on your right foot, don't forget it! Now it's time to bring it around town. Bring-it-a-round-town. Then you do this, then this, and this, and that, and-this-and-that-and-this-and-that, and then... "
"Squidward"," That's not art. That's just annoying. Blowing bubbles, that's the lamest idea I have ever heard.  You should be ashamed of yourselves.  Bubbles.  Art. "
"SpongeBob"," That'll be 25 cents, sir."
"Squidward"," Ah, whoa, what?  Oh... who-who would pay 25 cents to blow bubbles?"
"SpongeBob"," We also offer lessons for beginners. "
"Squidward"," Beginners? What could be more simple than blowing a stupid bubble?  Here's your 25 cents!  Watch and learn.  Uhh... wait, wait, wait.  One more time. Here. Wait.  Uhh... Just a mere warm-up. "
"SpongeBob"," Hey, Squidward, remember the technique.  Squidward, technique! You do this, and this, step back...."
"Patrick"," Hey! Technique, Squidward!"
"SpongeBob"," Spin around like thi— Like this...  Look at me, over here, one... two.... yeah, three..."
"Patrick"," The pelvic woo!"
"SpongeBob"," Look, we're doing the technique! And don't for... Don't forget the ""Woooooo!"" Squidward?"
"Patrick"," Listen to Sponge!"
"SpongeBob"," Technique! Technique! Technique!"
"SpongeBob","  You're not doing the technique."
"Patrick"," Technique."
"Squidward"," Technique? Technique!? Technique, technique, technique, technique, technique!  First I do this, spin around. Stop. Double take three times. And here we go, pelvic thrust. Wehooooo! Wehoohoo! Oh, stop on your right foot, don't forget it. Then, bring it around town. And a little of this, a little of that, a little of this, this, this, this, that, that, that, that. And that, that, that that that that! And then... "
"SpongeBob"," All right, Squid! That was so good!"
"Patrick"," Squid is number one!"
"Squidward"," I really did it, didn't I? Hey, you guys didn't blow anything like that! "
"SpongeBob"," No."
"Squidward"," Now that's a bubble!"
"SpongeBob"," You said it, Squidward. See, it is all in the technique!"
"Patrick"," Yeah, technique."
"Squidward"," Technique? Hah! SpongeBob, you don't think I created that  beautiful work of art with your help?  Come on, it's in my genes."
"Squidward"," Thank you, thank you, thank you.  I rock. "
"SpongeBob","  Squidward! "
"Squidward"," Hello, my friends. You are looking at a... "
"Squidward"," ...genius. "
"SpongeBob"," What a great day.  Hey, Sandy! Look!  I'm Sandy!  Hey Sandy, who am I?  Hello, SpongeBob. Could you keep it down? I'm trying to be boring. "
"Sandy"," SpongeBob! "
"SpongeBob"," Did anyone order twenty pepperoni and sand pizzas? "
"Sandy"," Hey, Larry."
"Sandy"," Sure.  Well come on, SpongeBob. "
"SpongeBob","  Coming. "
"SpongeBob"," Good job, Sandy. Well, that's about enough for today, don't you think? "
"SpongeBob"," All right, stand back, everyone. "
"Sandy"," Y'all watch this!  Way to go, Larry! "
"SpongeBob"," Could I borrow a couple of these?"
"Sandy"," Ain't he the funniest little Sponge you ever saw? "
"SpongeBob"," I got it!  Incoming!  Oops, I guess I ripped my pants again! "
"SpongeBob"," Hey, Sandy, how about throwing it to me?"
"Sandy"," Okay, here it comes! "
"SpongeBob"," I could use a hand here! "
"Sandy"," You okay, SpongeBob?"
"SpongeBob"," I guess so...  ...except I ripped my pants! "
"SpongeBob"," I'll take a banana split."
"SpongeBob"," That's okay. I already split my pants! Get it? "
"SpongeBob"," How about ripple?  No, thanks, already got one!  Is that a burger you're eating?"
"SpongeBob"," You know what would go good with that?"
"SpongeBob","  Ripped... pants.  Ripped pants a la mode!  Delivery! Did you order twenty cases of ripped pants? "
"Sandy"," SpongeBob!"
"SpongeBob","  Come closer.  I need... I need..."
"SpongeBob","  A tailor.  Because I ripped my pants! "
"Sandy"," That wasn't funny, SpongeBob! Y'all had me worried sick! "
"SpongeBob","  Come on, SpongeBob, you're losing them! Think! Your public's waiting.  Let's see...  ""Lifting weights - big laugh,"" ""Frisbee in face - kills,"" ""Surfing - knocks 'em dead,"" ""Pretending to drown,""  No. Come on, think! I got it! Hey, everybody!  Not ripped pants!  Pants ripped off. Huh? Someone call the police. There's a pants thief on the loose!  Oh, no, everybody's gone, even Sandy. She'd rather hang out with Larry! Oh, no, no, no, no, no, no, no.  We blew it, pants."
"SpongeBob"," Oh, I didn't have to be a fool to get Sandy's attention. Am I the biggest loser on the beach?! "
"SpongeBob"," Ouch. "
"SpongeBob"," I lost my best friend."
"SpongeBob"," When I ripped...  my pants.  I thought that I had everybody by my side, but I went and blew it all sky-high, and now she won't even spare a passing glance, all just because I  ripped my pants. "
"SpongeBob","  ♪I know I shouldn't mope around, I shouldn't curse, but the pain feels so much worse. 'Cause winding up with no one is a lot less fun than a burn from the sun...♪"
"SpongeBob"," ♪Now I learned a lesson I won't soon forget... so listen and you won't regret. Be true to yourself; don't miss your chance... and you won't end up like the fool... who... ripped... his... pants!♪ "
"Sandy"," SpongeBob!"
"SpongeBob"," Sandy! "
"Sandy"," Your song is true. If y'all want to be my friend, just be yourself. "
"SpongeBob"," Absolutely, buddy. "
"SpongeBob","  I think I've got it! Wait a minute... "
"Squidward"," Hm."
"SpongeBob"," Hey Squidward, we're jellyfishing."
"Squidward"," Of course you are. Bye now. "
"SpongeBob"," Wait! We made a net especially for you!  Do you want to come with us?"
"Squidward","  Really? Jellyfishing with you guys? Oh, that would be the best day ever in my book! I would love to go jellyfishing! I can't think of anything I'd like to do more on my day off than go jellyfishing with my two best friends SpongeBob and... uh..."
"Patrick"," Patrick."
"Squidward"," Right. But I can't. Bye bye."
"SpongeBob"," Next time?"
"Squidward"," Oh sure, right! Whatever.  Like that'll ever happen."
"SpongeBob"," You know, Patrick? It always seems like Squidward never has time for fun."
"Patrick"," Maybe he doesn't like us."
"SpongeBob"," No, are you kidding? We're his best friends. "
"Squidward"," Jellyfishing.  Oh, I'll go.  I sure had them going.  Stupid jellyfish! Beat it!  Ow..."
"SpongeBob"," Squid's back! "
"Patrick"," Yello?"
"SpongeBob"," Hey Patrick, Squid's home! And we're gonna make sure he's greeted by his two best friends!"
"Patrick"," Oh great! Who are they? "
"SpongeBob"," Us!  Let's go!  Welcome home, Squidward!"
"Patrick"," Merry Christmas!"
"SpongeBob"," We're gonna make this your best day ever!  Well, your best day's sure not gonna be out there. "
"Patrick"," How about some soup on your best day ever?  Here we go!  Oh, it's a little hot. "
"SpongeBob"," I don't think soup is the best thing for him on his best day ever.  How about some music on your best day ever? Played on your very own clarinet.  Sorry, my lips are a little dry. "
"Patrick"," Music isn't best either!"
"SpongeBob"," But what is best is what we saved for last. The one sure-fire thing to make your best day ever the best day ever! "
"SpongeBob"," This is Jellyfish Fields, where wild jellyfish roam just waiting to be captured.  No, no, Squid! Over here! I know you're eager, but you don't even have your net. Pat, fix him up while I find him a good specimen."
"Patrick"," Firmly grasp it in your hand.  Firmly grasp it.  Firmly grasp it!  That oughta do it. "
"SpongeBob"," There's one in position. Ready... set... go! "
"Patrick"," I think we gotta show him how it's done. "
"SpongeBob"," Hey look! Squid's doing it! "
"Patrick"," This guy's good."
"SpongeBob"," He's a natural!"
"SpongeBob","  Yeah, you're doing great! Go, Squid, go!"
"Patrick","  Yeah, you got it, Squidward! Yeah, you're doing it, Squid! See what you've been missing?"
"SpongeBob","  Yeah, you got, Squid!"
"Patrick","  You got what you wanted, Squidward! You can do that distance! Use that net!"
"SpongeBob"," Be the net!"
"Patrick"," Yeah! You're feeling it Squid! That's it, all the way! The last 6 miles, make that, Squid! Go, go, go!"
"SpongeBob","  Yeah, go by the eye of the tiger, by the eye of the tiger, by the eye of the tiger! Better, better, better! Yeah, yeah, yeah! You've got it now!"
"Patrick"," It's in the bag!"
"SpongeBob"," This is really your best day ever, isn't it?"
"SpongeBob"," Hey, Patrick. Well...  Thought yesterday went...  pretty well, don't you think?"
"Patrick"," I had fun."
"SpongeBob"," Me too. "
"Patrick"," Here comes Squidward!"
"SpongeBob"," Oh, great.  Hey Squid! How about that...  ...best day ever?"
"Patrick"," There's always tomorrow! "
"SpongeBob"," Um, we're really sorry about what happened yesterday, Squidward.  Um, we got you a present!  It's the jellyfish. "
"Patrick"," You know, from yesterday!"
"SpongeBob"," You're not still mad, are you? "
"Patrick"," Yup, he's still mad. "
"Squidward"," Ow."
"Squidward","  One Krabby Patty for table two. SpongeBob, I don't have the whole day. "
"SpongeBob"," Oui, oui. Un Krabby Patty, Monsieur. First, les patty. "
"Squidward"," Come on, SpongeBob!"
"SpongeBob"," Next, les ingredients.  Ah, oui!  Les mustard. "
"Squidward"," Les quit fooling around, where's my Krabby Patty?"
"SpongeBob"," Les hold on a second!  And voila!  It's under your nose! "
"Squidward"," You're killing me, SpongeBob! Ha ha ha...you really are. ."
"SpongeBob"," Look at it, Squidward. Mr. Krabs' gift to all of Bikini Bottom -- the Krabby Patty.."
"Squidward"," Okay, give it to me.  Come on SpongeBob, stop it!"
"SpongeBob","  I swear I'm not doing anything. Mr. Krabs! The Krabby Patty is haunted! "
"Mr. Krabs"," Avast, ye patty pirate! This is no ghost. This is...  Plankton! Stealing me booty!"
"Mr. Krabs"," Oh, I'll let you go, squirt. On a flying saucer!  Back to the Chum Bucket with you!"
"Plankton"," You'll pay for this, Krabs! "
"SpongeBob"," Uh..Plankton, sir?"
"Mr. Krabs"," Aye, he's been trying to steal me secret formula for years, but you haven't got it yet, have ye, bug?  Okay.  Enough lad, it wasn't that funny.  Get back to work! "
"SpongeBob","  Okay Mr. Krabs, see you tomorrow!"
"Mr. Krabs"," Good night, me boy! "
"Plankton","  Psst...young man.  Yes, over here. Come on boy, a little closer.  Closer...  Not that close!  You blasted barnacle head! I mean...hi. "
"SpongeBob"," Plankton? What do you want?"
"Plankton"," I just want to talk. You could say we're friends, right?"
"SpongeBob"," Um...no."
"Plankton"," Acquaintances?"
"SpongeBob"," No."
"Plankton"," Well, we're both invertebrates, aren't we?"
"SpongeBob"," I...guess so."
"Plankton"," You see? Everything works out. I have something for you. I've been keeping it in my secret compartment.  Ding!  Sparkle, sparkle."
"SpongeBob"," Wow! A golden spatula! And it's even got my name on it."
"Plankton"," It's a gift! A gift from a friend.  Friends give each other gifts, and tomorrow is my birthday.  And you know what I'd like more than anything in the whole wide world? ."
"SpongeBob"," A booster seat? "
"Plankton"," Booster seat? Hot dog! I mean, no. What I want for my birthday from you, my friend, is one of those  tender...delicious...Krabby Patties! "
"SpongeBob"," You just want to be friends so you can get your hands on a Krabby Patty! And I bet it's not even your birthday tomorrow."
"Plankton"," Gee, and I thought you were stupid."
"SpongeBob"," You'll never get a Krabby Patty from me!  Even if we are friends!  Never, never, never, never!"
"Plankton"," Oh, I'll get a Krabby Patty and you're gonna hand-deliver it to me personally! You weak-minded fool! "
"SpongeBob"," Good night, Gary. "
"Plankton","  SpongeBob, you will be mine! "
"Plankton"," It should be in here...but where?  Where? Oh...  This will be the beginning of the end!  Ouch! Stupid brain...  Come back here you swine!  That's it, brain, you're going down!  Yes, yes, that's grand.  And now, for my very elaborate and college-educated plan.  And now it's time for a little wakey-uppy. "
"SpongeBob"," Morning already?  I... I feel a little funny today. "
"Plankton"," I have you now! "
"SpongeBob"," Time for a well-balanced breakfast.  This isn't what I had in mind.  Let me just grab my pants.  I guess I'm not wearing any pants today.  I guess I'm not using the door either. See you later, Gary! ...I guess.  You're right, Gary! There is something wrong with me! Squidward! Squidward! Wake up! I need some help!  Squidward! Help!"
"Squidward"," Be quiet, SpongeBob! "
"SpongeBob"," Help!"
"Squidward"," SpongeBob! What are you doing? I'm talking to you! SpongeBob! SpongeBob, are you mad? "
"Plankton","  Shut your mouth, you mediocre clarinet player."
"Squidward"," Mediocre? "
"Plankton"," You pretentious little insignificant artist. Your snivelly creations are worth less than a protozoan's waste! "
"SpongeBob"," Something must be wrong with my brain!  Plankton!  What kind of friend are you?"
"Plankton"," Nonsense. You never liked me anyway. You wouldn't even come to my birthday party! "
"SpongeBob"," Get out of my head! Leave my brain alone!  Never! Never! "
"Plankton","  Toot toot! How about a little take-out?"
"SpongeBob"," No, never!  You can't fool me Plankton, you want the Krabby Patty secret formula! "
"Plankton"," You are going to hand-deliver it to me personally!"
"SpongeBob"," No, no, no!  There's no one here."
"Plankton"," Don't remind me. Brace yourself SpongeBob. This is my lab!  And this is my laboratory! And did I ever show you my record player? "
"SpongeBob"," I must fight! "
"Plankton"," No, no, no, no.  There, you see how much easier it is when you help, friend? How do you like my analyzer? It tells the ingredients of whatever I put into it. "
"Plankton"," Impressed? Now let's reveal that secret formula.  And this little piggy brought home a Krabby Patty.  This little piggy will help me drop it in. Any last words, SpongeBob SecretPants? "
"SpongeBob"," I just have to say I'm sorry I let Mr. Krabs down.  I let all of Bikini Bottom down. But worst of all, I let you down, you delicate little Krabby Patty."
"Plankton"," Mmm..."
"SpongeBob","  With your tasty, juicy, scrumptious, warm, steamy goodness. "
"Plankton"," Steamy... "
"SpongeBob"," I'll never forget your 100% all-secret patty, secretly assembled with undersea cheese, pickles, lettuce, tomato, onion, all secretly steamed between two fluffy seaweed-sea buns. "
"Plankton"," Yes... yes... yes!  Come to papa!  Oh boy... "
"Plankton"," Well, this stinks."
"SpongeBob"," Well patty, I guess we can go home now. "
"Plankton"," SpongeBob, that's my Krabby Patty!  Give it back, you porous freak! I command you! My patty!  Nooooo! I'll settle for some fries."
"Squidward"," Wow. Squidward, this is the best soufflé you have ever created.  Congratulations, chef! "
"SpongeBob","  Patrick, you're my best friend in the whole neighborhood."
"SpongeBob","  Of course, Patrick. Anyone with eyes can see that. "
"SpongeBob","  Patrick, what are you talking about?"
"Patrick","  Well, that makes you a big dummy, you dummy!"
"SpongeBob","  Yeah, well, that means that, uhh... so are you!"
"Patrick"," Right, you're a turkey!"
"SpongeBob"," What's that? "
"Patrick"," It's what you are!"
"SpongeBob"," Well, you're a bigger one!"
"Patrick"," Well, you're still yellow! And you know what else is yellow?"
"SpongeBob"," What?"
"Patrick"," You are!"
"SpongeBob"," Oh, yeah? Well it doesn't matter what you call me, 'cause I never wanna see you again anyway!  Aww, tartar sauce! "
"Squidward","  "
"Patrick"," Wow, Squidward, you're choking!  Uhh... uhh, I know what to do, but I should wash my hands first. Oh, well.  I win!"
"Squidward"," Wow! Patrick, you saved me!"
"Patrick"," I did?"
"Squidward"," Yup! You're a real lifesaver, friend! "
"Patrick"," Friend?  Friend..."
"Squidward","  Yeah, Patrick, we're friends...  just friends. "
"Patrick"," So what are we gonna do tonight, best friend? "
"Squidward"," Well, I was going to practice my clarinet solo."
"Patrick"," Clarinet? I love music!"
"SpongeBob"," Ahh, who needs them? They're no fun anyway, right, Gary?  Gary? "
"Squidward"," Squidward will be performing his version of Solitude in E minor."
"Patrick","  Yeah! E minor! All right! Yeah! "
"SpongeBob"," Ah, what am I worried about? I got plenty of friends! I can name three right off the bat!  Uhh...  The gang's all here...  Ohhh!"
"Squidward"," Ow! My back! I threw out my back!"
"SpongeBob","  Oh, boy, now's my chance! "
"Squidward"," SpongeBob? No, no, stay back!"
"SpongeBob","  Don't worry, Squidward! I'm coming!"
"Squidward"," No, no, no, get away from me!"
"SpongeBob"," Hang on! I'll save you! "
"Squidward","  No, no! Get away from me! No, no!"
"SpongeBob","  Hold on!"
"Squidward"," No, no! Get away!  Oh! I'm ruined! I'm... I'm... I'm... I-I feel great! Thanks, SpongeBob! You're a real friend! "
"SpongeBob"," Friend..."
"Squidward"," N-no, no, no, I didn't mean that, no-no."
"SpongeBob"," Don't worry, Squiddy, old-pal. That's what friends are for.  So dumb Patrick fell asleep on ya, huh? Some friend. A real friend would perform for you!"
"Squidward"," You play?"
"SpongeBob"," Are you kidding? I've been playing bassinet for years!  Give me an A, buddy!  Squidward is my best friend in the world.  Squidward is my best friend in the sea..."
"SpongeBob","  Squidward..."
"Patrick","  Likes Patrick more than SpongeBob.  Oh!"
"SpongeBob","  And Patrick is a dirty, stinky, rotten friend stealer!  Umm, I can fix this. "
"Squidward"," Grrrrrryehhhhherrrryeh! "
"SpongeBob"," ...So, uhh, I'll see you tomorrow, Squidward! Call me!"
"Squidward"," Yech! That was disgusting! I feel like I need to scrub myself. "
"Patrick"," Hey, buddy. I warmed it up for ya. "
"Squidward"," Patrick! Get out! And put some clothes on! "
"SpongeBob"," What's the matter, Squidward, old buddy?  Oh, ho-ho, so this is what I find, huh? My best friend and my ex-best friend and...  ...rubber bath toys!"
"Patrick","  Oh, yeah?! Well, he was my friend first!"
"SpongeBob","  You're just a backbiting, backstabbing silly blob of..."
"Squidward","  This can't be happening to me! "
"SpongeBob"," Buddy?!"
"Patrick"," Squidward?!"
"SpongeBob"," Where'd ya go, friend?"
"Patrick"," Where are ya, ol' buddy?"
"Squidward","  Oh, this is nuts! I need a plan to get those two back together and outta my hair!"
"SpongeBob","  Squidward.  A dinner party? I'd love to!  Did you miss me?"
"Squidward"," Come on in! You look stunning. "
"SpongeBob"," I'd much rather dine with you than that lousy...  Say, what gives? I'm not sitting near that maniac!"
"Patrick"," Me neither! This was a setup!"
"Squidward"," I thought you two were my best friends."
"Squidward","  Well, how about some soda, guys? "
"SpongeBob"," Yes, please!  Thanks, friend.  "
"Patrick"," How about some for your best friend? "
"SpongeBob"," Thanks, best friend! "
"Patrick"," Can I have some now, buddy?"
"SpongeBob"," Wait, I need some more! "
"Patrick"," I still didn't get any! "
"SpongeBob"," There ya go. More please! "
"Patrick","  Squidward!"
"SpongeBob","  Squidward!"
"Patrick","  Hey, Squidward!"
"SpongeBob","  Squidward!"
"Patrick","  Squidward!  Squidward!"
"Squidward"," Patrick! Your glass is full!"
"Patrick"," Oh, yeah..."
"SpongeBob","  Squidward!"
"Patrick","  Hey, Squidward!"
